"target_variable","status","source_columns","expression","notes","lookup_table"
"st_game_phone","compatible","a2, a4_1, a4_2, a4_3, a6_1, a6_2, a6_3","case_when(
  as.numeric(a2) == 2 ~ 0,
  is.na(a4_1) ~ NA,
  .default = if_else(
    coalesce(as.numeric(a4_1), 0) == 2,
    recode_values(as.numeric(a6_1), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
    0
  ) +
    if_else(
      coalesce(as.numeric(a4_2), 0) == 2,
      recode_values(as.numeric(a6_2), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    ) +
    if_else(
      coalesce(as.numeric(a4_3), 0) == 2,
      recode_values(as.numeric(a6_3), 1 ~ 0, 2 ~ 0.5, 3 ~ 1, 4 ~ 2, 5 ~ 3, 6 ~ 4, 7 ~ 5, 8 ~ 6, 9 ~ 7),
      0
    )
)","Games played on a smartphone or tablet (a4=2); same construction as st_game",""
"st_comp_nongaming_wd","unavailable","","","",""
"st_comp_nongaming_we","unavailable","","","",""
"st_comp_nongaming","unavailable","","","",""
"st_comp_wd","unavailable","","","",""
"st_comp_we","unavailable","","","",""
"st_comp","unavailable","","","Only computer gaming captured (see st_game_comp); no any-purpose computer use measure",""
"st_tablet_wd","unavailable","","","",""
"st_tablet_we","unavailable","","","",""
"st_tablet","unavailable","","","",""
"st_phone_wd","unavailable","","","",""
"st_phone_we","unavailable","","","",""
"st_phone","unavailable","","","Only phone/tablet gaming captured (see st_game_phone); no general smartphone use measure",""
"acc_academachment_selfrated","unavailable","","","",""
"acc_academachment_lettergrades","in_progress","","","",""
"acc_academachment_stdtest","in_progress","","","",""
"acc_schoolengage_caresschool","in_progress","","","",""
"acc_schoolengage_homework","in_progress","","","",""
"beh_hyper_basc2","unavailable","","","SDQ hyperactivity items exist but schema variable is BASC-2 specific",""
"beh_atten_basc2","unavailable","","","",""
"beh_selfreg_htks","unavailable","","","",""
"beh_bullied","unavailable","","","Decision: SDQ items not mapped to beh_ variables (item 12 also conflates fighting and bullying); SDQ captured as subscale scores",""
"beh_beenbullied","unavailable","","","Decision: SDQ items not mapped to beh_ variables; SDQ captured as subscale scores",""
"beh_fight","unavailable","","","Decision: SDQ items not mapped to beh_ variables (item 12 also conflates fighting and bullying); SDQ captured as subscale scores",""
"beh_conduct_sdq_parent","compatible","ITEM_05, ITEM_07, ITEM_12, ITEM_18, ITEM_22","(as.numeric(ITEM_05) + (4 - as.numeric(ITEM_07)) + as.numeric(ITEM_12) + as.numeric(ITEM_18) + as.numeric(ITEM_22)) - 5","Items rescored from source 1-3 coding to standard SDQ 0-2 scoring (ITEM_07 reversed); items match study syntax conduct subscale",""
"beh_hyper_sdq_parent","compatible","ITEM_02, ITEM_10, ITEM_15, ITEM_21, ITEM_25","(as.numeric(ITEM_02) +
  as.numeric(ITEM_10) +
  as.numeric(ITEM_15) +
  (4 - as.numeric(ITEM_21)) +
  (4 - as.numeric(ITEM_25))) -
  5","Items rescored from source 1-3 coding to standard SDQ 0-2 scoring (ITEM_21 and ITEM_25 reversed)",""
"beh_peerprob_sdq_parent","compatible","ITEM_06, ITEM_11, ITEM_14, ITEM_19, ITEM_23","(as.numeric(ITEM_06) +
  (4 - as.numeric(ITEM_11)) +
  (4 - as.numeric(ITEM_14)) +
  as.numeric(ITEM_19) +
  as.numeric(ITEM_23)) -
  5","Items rescored from source 1-3 coding to standard SDQ 0-2 scoring (ITEM_11 and ITEM_14 reversed)",""
"beh_prosocial_sdq_parent","compatible","ITEM_01, ITEM_04, ITEM_09, ITEM_17, ITEM_20","(as.numeric(ITEM_01) + as.numeric(ITEM_04) + as.numeric(ITEM_09) + as.numeric(ITEM_17) + as.numeric(ITEM_20)) - 5","Items rescored from source 1-3 coding to standard SDQ 0-2 scoring; items match study syntax prosocial subscale",""
"beh_aggphys_bpaq_self","compatible","a10_1, a10_4, a10_8","((6 - as.numeric(a10_1)) + (6 - as.numeric(a10_4)) + (6 - as.numeric(a10_8))) / 3","Source coded 1 Very like me to 5 Very unlike me; reversed per study syntax so higher means more aggressive; mean of 3 items",""
"beh_aggverb_bpaq_self","compatible","a10_2, a10_5, a10_12","((6 - as.numeric(a10_2)) + (6 - as.numeric(a10_5)) + (6 - as.numeric(a10_12))) / 3","Source coded 1 Very like me to 5 Very unlike me; reversed per study syntax so higher means more aggressive; mean of 3 items",""
"beh_agganger_bpaq_self","compatible","a10_6, a10_9, a10_10","((6 - as.numeric(a10_6)) + (6 - as.numeric(a10_9)) + (6 - as.numeric(a10_10))) / 3","Source coded 1 Very like me to 5 Very unlike me; reversed per study syntax so higher means more aggressive; mean of 3 items",""
"beh_agghostility_bpaq_self","compatible","a10_3, a10_7, a10_11","((6 - as.numeric(a10_3)) + (6 - as.numeric(a10_7)) + (6 - as.numeric(a10_11))) / 3","Source coded 1 Very like me to 5 Very unlike me; reversed per study syntax so higher means more aggressive; mean of 3 items",""
"beh_argues","in_progress","","","",""
"beh_persistence_finishwork","in_progress","","","",""
"beh_emotreg_stayscalm","in_progress","","","",""
"beh_peerprob_makefriends","in_progress","","","",""
"beh_conduct_diagnosed","in_progress","","","",""
"beh_conduct_diagnosed_severity","in_progress","","","",""
"cog_execfunc_basc2","unavailable","","","",""
"cog_langexec_nepsy","unavailable","","","",""
"cog_phono_nepsy","unavailable","","","",""
"cog_inhibcont_nepsy","unavailable","","","",""
"cog_vismotor_nepsy","unavailable","","","",""
"cog_verbalfluency_nepsy","unavailable","","","",""
"mh_anx_basc2","unavailable","","","SDQ emotional symptoms items exist but schema variable is BASC-2 specific",""
"mh_dep_basc2","unavailable","","","",""
"mh_emotsymp_sdq_parent","compatible","ITEM_03, ITEM_08, ITEM_13, ITEM_16, ITEM_24","(as.numeric(ITEM_03) + as.numeric(ITEM_08) + as.numeric(ITEM_13) + as.numeric(ITEM_16) + as.numeric(ITEM_24)) - 5","Items rescored from source 1-3 coding to standard SDQ 0-2 scoring",""
"mh_totaldiff_sdq_parent","compatible","ITEM_02, ITEM_03, ITEM_05, ITEM_06, ITEM_07, ITEM_08, ITEM_10, ITEM_11, ITEM_12, ITEM_13, ITEM_14, ITEM_15, ITEM_16, ITEM_18, ITEM_19, ITEM_21, ITEM_22, ITEM_23, ITEM_24, ITEM_25","(as.numeric(ITEM_03) +
  as.numeric(ITEM_08) +
  as.numeric(ITEM_13) +
  as.numeric(ITEM_16) +
  as.numeric(ITEM_24) +
  as.numeric(ITEM_05) +
  (4 - as.numeric(ITEM_07)) +
  as.numeric(ITEM_12) +
  as.numeric(ITEM_18) +
  as.numeric(ITEM_22) +
  as.numeric(ITEM_02) +
  as.numeric(ITEM_10) +
  as.numeric(ITEM_15) +
  (4 - as.numeric(ITEM_21)) +
  (4 - as.numeric(ITEM_25)) +
  as.numeric(ITEM_06) +
  (4 - as.numeric(ITEM_11)) +
  (4 - as.numeric(ITEM_14)) +
  as.numeric(ITEM_19) +
  as.numeric(ITEM_23)) -
  20","Sum of the four difficulties subscales after rescoring items to standard SDQ 0-2 scoring",""
"mh_anx_diagnosed","in_progress","","","",""
"mh_anx_diagnosed_severity","in_progress","","","",""
"mh_dep_diagnosed","in_progress","","","",""
"mh_dep_diagnosed_severity","in_progress","","","",""
"wb_emotsc_basc2","unavailable","","","",""
"wb_mwb_wemwbs","unavailable","","","",""
"wb_lifesatisfaction_cantrilladder","unavailable","","","",""
"wb_resil_basc2","unavailable","","","",""
"wb_psychcomplaints_feellow","unavailable","","","",""
"wb_psychcomplaints_irritable","unavailable","","","",""
"wb_psychcomplaints_nervous","unavailable","","","",""
"wb_psychcomplaints_diffsleep","unavailable","","","",""
"wb_bodyimage","unavailable","","","",""
