source_value,harmonised_value,notes
Brazil | White/Caucasian,Non-minority,"Brazil, 'White/Caucasian' (n=383). National majority reference: Branca/White Brazilians (47.7% at the 2010 census)."
Brazil | Mixed,Unknown,"Brazil, 'Mixed' (n=72). National majority reference: Branca/White Brazilians (47.7% at the 2010 census). Parda/mixed is 43.1% of the Brazilian population - neither the largest group nor a numerical minority, so not classifiable."
Brazil | Black,Minority,"Brazil, 'Black' (n=38). National majority reference: Branca/White Brazilians (47.7% at the 2010 census)."
Brazil | Don't Know,Unknown,"Brazil, 'Don't Know' (n=10). National majority reference: Branca/White Brazilians (47.7% at the 2010 census). Non-response."
Brazil | Asian,Minority,"Brazil, 'Asian' (n=8). National majority reference: Branca/White Brazilians (47.7% at the 2010 census)."
Brazil | Brazilian Indian,Minority,"Brazil, 'Brazilian Indian' (n=2). National majority reference: Branca/White Brazilians (47.7% at the 2010 census)."
Brazil | Other,Minority,"Brazil, 'Other' (n=2). National majority reference: Branca/White Brazilians (47.7% at the 2010 census)."
Canada | White/Caucasian,Non-minority,"Canada, 'White/Caucasian' (n=373). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | Other,Minority,"Canada, 'Other' (n=78). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | Asian,Minority,"Canada, 'Asian' (n=57). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | White and Asian,Minority,"Canada, 'White and Asian' (n=17). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | African American,Minority,"Canada, 'African American' (n=15). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | African or African (black),Minority,"Canada, 'African or African (black)' (n=6). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | East Indian,Minority,"Canada, 'East Indian' (n=5). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | White and Black African,Minority,"Canada, 'White and Black African' (n=4). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | Caribbean,Minority,"Canada, 'Caribbean' (n=2). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | First Nations,Minority,"Canada, 'First Nations' (n=2). National majority reference: White Canadians (~78% at the 2011 census)."
Canada | Don't Know,Unknown,"Canada, 'Don't Know' (n=1). National majority reference: White Canadians (~78% at the 2011 census). Non-response."
China | Han,Non-minority,"China, 'Han' (n=511). National majority reference: Han Chinese (~92% nationally)."
China | Hui,Minority,"China, 'Hui' (n=35). National majority reference: Han Chinese (~92% nationally)."
China | Other,Minority,"China, 'Other' (n=6). National majority reference: Han Chinese (~92% nationally)."
India | Indian Hindu,Non-minority,"India, 'Indian Hindu' (n=348). National majority reference: Hindus (~80% nationally); ISCOLE India recorded religion rather than ethnicity."
India | Indian Christian,Minority,"India, 'Indian Christian' (n=156). National majority reference: Hindus (~80% nationally); ISCOLE India recorded religion rather than ethnicity."
India | Indian Muslim,Minority,"India, 'Indian Muslim' (n=46). National majority reference: Hindus (~80% nationally); ISCOLE India recorded religion rather than ethnicity."
India | Indian Jain,Minority,"India, 'Indian Jain' (n=40). National majority reference: Hindus (~80% nationally); ISCOLE India recorded religion rather than ethnicity."
India | Other,Minority,"India, 'Other' (n=9). National majority reference: Hindus (~80% nationally); ISCOLE India recorded religion rather than ethnicity."
India | Don't Know,Unknown,"India, 'Don't Know' (n=3). National majority reference: Hindus (~80% nationally); ISCOLE India recorded religion rather than ethnicity. Non-response."
India | Asian,Unknown,"India, 'Asian' (n=1). National majority reference: Hindus (~80% nationally); ISCOLE India recorded religion rather than ethnicity. 'Asian' is uninformative in the Indian sample."
Finland | White/Caucasian,Non-minority,"Finland, 'White/Caucasian' (n=407). National majority reference: White Finns."
Finland | Other,Minority,"Finland, 'Other' (n=63). National majority reference: White Finns."
Finland | Asian,Minority,"Finland, 'Asian' (n=16). National majority reference: White Finns."
Finland | African or African (black),Minority,"Finland, 'African or African (black)' (n=8). National majority reference: White Finns."
Finland | Don't Know,Unknown,"Finland, 'Don't Know' (n=3). National majority reference: White Finns. Non-response."
