target_variable,status,source_columns,expression,notes,lookup_table,measure
ses_household,proximate,"PINCOME, wave","case_when(
  is.na(na_if(as.numeric(PINCOME), 9999)) ~ ""Unknown"",
  na_if(as.numeric(PINCOME), 9999) <=
    recode_values(wave, c(""w1"", ""w2"") ~ 5, c(""w3"", ""w4"", ""w5"", ""w6"") ~ 6, ""w7"" ~ 7) ~ ""Low"",
  na_if(as.numeric(PINCOME), 9999) <=
    recode_values(wave, c(""w1"", ""w2"") ~ 6, c(""w3"", ""w4"", ""w5"") ~ 7, c(""w6"", ""w7"") ~ 8) ~ ""Medium"",
  .default = ""High""
)","Guardian-reported average monthly household income (PINCOME, 12 bands), cut by within-wave band ridit (the hard-coded cuts equal the ridit in all 7 waves): Low = bands 1-5 (w1-w2), 1-6 (w3-w6), 1-7 (w7); Medium = band 6 (w1-w2), 7 (w3-w5), 7-8 (w6), 8 (w7). Proximate: w6 splits 29/38/33 (two bands have ridits in 0.4-0.6); w1-w5 and w7 lie within 10 points of 40/20/40. 9999 (No response) and missing guardian record = Unknown.",,
ses_household_measure,inferred,,"""Income: monthly household income (12 bands)""",Guardian report (PINCOME); see ses_household.,,
ses_hukou,unavailable,,,Hukou not asked.,,
maternal_education,compatible,PSCHOOL2,"lookup_values(
  recode_values(
    as.numeric(PSCHOOL2),
    1 ~ ""Did not go to school"",
    2 ~ ""Graduated elementary school"",
    3 ~ ""Graduated middle school"",
    4 ~ ""Graduated high school"",
    5 ~ ""Graduated 2-3 year college"",
    6 ~ ""Graduated 4 year college"",
    7 ~ ""Graduated graduate school"",
    c(8, 9, 10) ~ ""Not reported or not applicable"",
    default = ""Not reported or not applicable""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education""
)","Guardian-reported mother's highest education. Codes 8 (Not sure), 9 (undocumented, concentrated in father-absent households) and 10 (N/A) map to Unknown.",maternal_education,
paternal_education,compatible,PSCHOOL1,"lookup_values(
  recode_values(
    as.numeric(PSCHOOL1),
    1 ~ ""Did not go to school"",
    2 ~ ""Graduated elementary school"",
    3 ~ ""Graduated middle school"",
    4 ~ ""Graduated high school"",
    5 ~ ""Graduated 2-3 year college"",
    6 ~ ""Graduated 4 year college"",
    7 ~ ""Graduated graduate school"",
    c(8, 9, 10) ~ ""Not reported or not applicable"",
    default = ""Not reported or not applicable""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education"",
  default = ""Unknown""
)","Guardian-reported father's highest completed education (PSCHOOL1) through the maternal_education lookup. Codes 8 (Not sure), 9 (undocumented) and 10 (Not applicable) and missing = Unknown.",maternal_education,
parental_education,compatible,"PSCHOOL1, PSCHOOL2","lookup_values(
  recode_values(
    pmax(
      ifelse(as.numeric(PSCHOOL1) %in% 1:7, as.numeric(PSCHOOL1), NA),
      ifelse(as.numeric(PSCHOOL2) %in% 1:7, as.numeric(PSCHOOL2), NA),
      na.rm = TRUE
    ),
    1 ~ ""Did not go to school"",
    2 ~ ""Graduated elementary school"",
    3 ~ ""Graduated middle school"",
    4 ~ ""Graduated high school"",
    5 ~ ""Graduated 2-3 year college"",
    6 ~ ""Graduated 4 year college"",
    7 ~ ""Graduated graduate school"",
    default = ""Not reported or not applicable""
  ),
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education"",
  default = ""Unknown""
)","Higher of father's and mother's education (PSCHOOL1, PSCHOOL2; codes 1-7 ordered by level) through the maternal_education lookup; codes 8/9/10 dropped first, so one reported parent suffices.",maternal_education,
urbanicity,proximate,ARA2A,"recode_values(as.numeric(ARA2A), 1 ~ ""Urban"", 2 ~ ""Suburban"", 3 ~ ""Rural"", default = ""Unknown"")","Settlement size of school location. Proximate: middle category is small/medium cities, not suburbs; three-level order preserved.",,
family_structure,proximate,PFAM1A00,"recode_values(
  as.numeric(PFAM1A00),
  c(1, 4) ~ ""Two biological/adoptive parents"",
  c(2, 5) ~ ""Single parent"",
  c(3, 6) ~ ""Other"",
  default = ""Unknown""
)","Guardian-reported household composition (PFAM1A00); codes 4/5 (with co-resident grandparents) classified on the parents present. Proximate: no step-parent category, so step families fall into 'Two biological/adoptive parents'.",,
fam_screenrules,unavailable,,,Not collected.,,
fam_bedroomscreen,unavailable,,,Not collected.,,
fam_parentstress,unavailable,,,Not collected.,,
fam_parentstress_measure,unavailable,,,See fam_parentstress.,,
school_grade,inferred,"SGRADE, cohort, wave, respondent","case_when(
  as.numeric(SGRADE) %in% 1:12 ~ recode_values(
    as.numeric(SGRADE),
    1 ~ ""Elementary School 1st Grade"",
    2 ~ ""Elementary School 2nd Grade"",
    3 ~ ""Elementary School 3rd Grade"",
    4 ~ ""Elementary School 4th Grade"",
    5 ~ ""Elementary School 5th Grade"",
    6 ~ ""Elementary School 6th Grade"",
    7 ~ ""Middle School 1st Grade"",
    8 ~ ""Middle School 2nd Grade"",
    9 ~ ""Middle School 3rd Grade"",
    10 ~ ""High School 1st Grade"",
    11 ~ ""High School 2nd Grade"",
    12 ~ ""High School 3rd Grade""
  ),
  respondent == ""main"" & cohort == ""elem"" ~ recode_values(
    wave,
    ""w1"" ~ ""Elementary School 4th Grade"",
    ""w2"" ~ ""Elementary School 5th Grade"",
    ""w3"" ~ ""Elementary School 6th Grade"",
    ""w4"" ~ ""Middle School 1st Grade"",
    ""w5"" ~ ""Middle School 2nd Grade"",
    ""w6"" ~ ""Middle School 3rd Grade"",
    ""w7"" ~ ""High School 1st Grade""
  ),
  respondent == ""main"" & cohort == ""mid"" ~ recode_values(
    wave,
    ""w1"" ~ ""Middle School 1st Grade"",
    ""w2"" ~ ""Middle School 2nd Grade"",
    ""w3"" ~ ""Middle School 3rd Grade"",
    ""w4"" ~ ""High School 1st Grade"",
    ""w5"" ~ ""High School 2nd Grade"",
    ""w6"" ~ ""High School 3rd Grade"",
    ""w7"" ~ NA_character_
  ),
  .default = NA_character_
)","Main panel has no grade item: inferred from cohort design (the codebook's Elementary 4 and Middle 1 cohorts at w1, +1 grade per wave; repetition rare). Siblings report grade (SGRADE). m1 main panel NA at w7: 2,033 answered the adult form (left school) and 40 the school form (SCLTYP) with no grade item. SGRADE code 13 (undocumented) NA.",,
st_measure_type,inferred,,"""Categorical""",Time-use items use seven ordered duration bands.,,
st_measure_name,inferred,,"""Custom""","Bespoke KCYPS time-use grid (Q1), not a named instrument.",,
st_responder,inferred,,"""Self""",Youth self-report time-use grid.,,
st_total_wd,incompatible,"YTIM1K01, YTIM1L01, YTIM1M01, YTIM1F01",,"Separate weekday smartphone, computer, TV and lecture items (YTIM1K01, YTIM1L01, YTIM1M01, YTIM1F01), mapped to st_phone_wd, st_comp_wd, st_watch_wd and st_educational_wd; not summed (DR-0002).",,
st_total_we,incompatible,"YTIM1K02, YTIM1L02, YTIM1M02, YTIM1F02",,"Separate weekend smartphone, computer, TV and lecture items (YTIM1K02, YTIM1L02, YTIM1M02, YTIM1F02), mapped to st_phone_we, st_comp_we, st_watch_we and st_educational_we; not summed (DR-0002).",,
st_total,incompatible,"YTIM1K01, YTIM1K02, YTIM1L01, YTIM1L02, YTIM1M01, YTIM1M02, YTIM1F01, YTIM1F02",,"Separate smartphone, computer, TV and lecture items (YTIM1K/L/M/F), mapped to st_phone, st_comp, st_watch and st_educational; not summed (DR-0002).",,
st_watch_wd,partial,YTIM1M01,"recode_values(as.numeric(YTIM1M01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)","'Leisure time watching TV', weekday, last semester. Partial: leisure TV only; viewing on other devices not asked. Bands at midpoints (1 = 0, 2 = 0.25, 3 = 0.75, 4 = 1.5, 5 = 2.5, 6 = 3.5); top band '4 hours or more' = 4.",,
st_watch_we,partial,YTIM1M02,"recode_values(as.numeric(YTIM1M02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)",Weekend counterpart of st_watch_wd; leisure TV only. Top band '4 hours or more' = 4.,,
st_watch,partial,"YTIM1M01, YTIM1M02","((recode_values(as.numeric(YTIM1M01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 5) +
  (recode_values(as.numeric(YTIM1M02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 2)) /
  7",(5 x wd + 2 x we) / 7 of st_watch_wd and st_watch_we; leisure TV only. Top band '4 hours or more' = 4.,,
st_game_wd,unavailable,,,No weekday/weekend split.,,
st_game_we,unavailable,,,No weekday/weekend split.,,
st_game,incompatible,YMDA1B06,,"Only smartphone gaming frequency (YMDA1B06: Never/Rarely/Occasionally/Frequently); not a duration, one device.",,
st_game_comp_wd,unavailable,,,Not collected.,,
st_game_comp_we,unavailable,,,Not collected.,,
st_game_comp,unavailable,,,Not collected.,,
st_game_console_wd,unavailable,,,Not collected.,,
st_game_console_we,unavailable,,,Not collected.,,
st_game_console,unavailable,,,Not collected.,,
st_game_handheldconsole_wd,unavailable,,,Not collected.,,
st_game_handheldconsole_we,unavailable,,,Not collected.,,
st_game_handheldconsole,unavailable,,,Not collected.,,
st_game_active_wd,unavailable,,,Not collected.,,
st_game_active_we,unavailable,,,Not collected.,,
st_game_active,unavailable,,,Not collected.,,
st_game_phone_wd,unavailable,,,No weekday/weekend split.,,
st_game_phone_we,unavailable,,,No weekday/weekend split.,,
st_game_phone,incompatible,YMDA1B06,,"Smartphone gaming frequency (YMDA1B06: Never/Rarely/Occasionally/Frequently), not a duration.",,
st_game_tablet_wd,unavailable,,,Not collected.,,
st_game_tablet_we,unavailable,,,Not collected.,,
st_game_tablet,unavailable,,,Not collected.,,
st_comp_nongaming_wd,incompatible,YTIM1L01,,"Only 'Leisure time using a computer' (YTIM1L01), which can include games; mapped to st_comp_wd.",,
st_comp_nongaming_we,incompatible,YTIM1L02,,"Only 'Leisure time using a computer' (YTIM1L02), which can include games; mapped to st_comp_we.",,
st_comp_nongaming,incompatible,"YTIM1L01, YTIM1L02",,"Only 'Leisure time using a computer' (YTIM1L01, YTIM1L02), which can include games; mapped to st_comp.",,
st_comp_wd,partial,YTIM1L01,"recode_values(as.numeric(YTIM1L01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)","'Leisure time using a computer', weekday, last semester. Partial: leisure only; schoolwork use falls in the non-screen 'studying on your own' item. Bands at midpoints (1 = 0, 2 = 0.25, 3 = 0.75, 4 = 1.5, 5 = 2.5, 6 = 3.5); top band '4 hours or more' = 4.",,
st_comp_we,partial,YTIM1L02,"recode_values(as.numeric(YTIM1L02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)",Weekend counterpart of st_comp_wd. Top band '4 hours or more' = 4.,,
st_comp,partial,"YTIM1L01, YTIM1L02","((recode_values(as.numeric(YTIM1L01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 5) +
  (recode_values(as.numeric(YTIM1L02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 2)) /
  7",(5 x wd + 2 x we) / 7 of st_comp_wd and st_comp_we; leisure only. Top band '4 hours or more' = 4.,,
st_tablet_wd,unavailable,,,Not collected.,,
st_tablet_we,unavailable,,,Not collected.,,
st_tablet,unavailable,,,Not collected.,,
st_phone_wd,partial,YTIM1K01,"recode_values(as.numeric(YTIM1K01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)","'Leisure time using a smartphone', weekday, last semester. Partial: leisure only; excludes schoolwork and information seeking. Bands at midpoints (1 = 0, 2 = 0.25, 3 = 0.75, 4 = 1.5, 5 = 2.5, 6 = 3.5); top band '4 hours or more' = 4.",,
st_phone_we,partial,YTIM1K02,"recode_values(as.numeric(YTIM1K02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)",Weekend counterpart of st_phone_wd. Top band '4 hours or more' = 4.,,
st_phone,partial,"YTIM1K01, YTIM1K02","((recode_values(as.numeric(YTIM1K01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 5) +
  (recode_values(as.numeric(YTIM1K02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 2)) /
  7",(5 x wd + 2 x we) / 7 of st_phone_wd and st_phone_we; leisure only. Top band '4 hours or more' = 4.,,
st_socmedia_wd,unavailable,,,No weekday/weekend split.,,
st_socmedia_we,unavailable,,,No weekday/weekend split.,,
st_socmedia,incompatible,YMDA1B05,,"Only smartphone social-media frequency (YMDA1B05: Never/Rarely/Occasionally/Frequently), not a duration; never derived from device items such as st_phone.",,
st_educational_wd,partial,YTIM1F01,"recode_values(as.numeric(YTIM1F01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)","'Time spent watching internet and TV lectures', weekday, last semester. Partial: recorded or broadcast lessons only, not all study screen use. Bands at midpoints (1 = 0, 2 = 0.25, 3 = 0.75, 4 = 1.5, 5 = 2.5, 6 = 3.5); top band '4 hours or more' = 4.",,
st_educational_we,partial,YTIM1F02,"recode_values(as.numeric(YTIM1F02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4)",Weekend counterpart of st_educational_wd. Top band '4 hours or more' = 4.,,
st_educational,partial,"YTIM1F01, YTIM1F02","((recode_values(as.numeric(YTIM1F01), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 5) +
  (recode_values(as.numeric(YTIM1F02), 1 ~ 0, 2 ~ 0.25, 3 ~ 0.75, 4 ~ 1.5, 5 ~ 2.5, 6 ~ 3.5, 7 ~ 4) * 2)) /
  7",(5 x wd + 2 x we) / 7 of st_educational_wd and st_educational_we; lectures only. Top band '4 hours or more' = 4.,,
st_work_wd,unavailable,,,No weekday/weekend split.,,
st_work_we,unavailable,,,No weekday/weekend split.,,
st_work,incompatible,YMDA1B12,,"Only a frequency item for academic or work-related smartphone use (YMDA1B12: Never/Rarely/Occasionally/Frequently), not a duration.",,
st_internet_wd,unavailable,,,Not collected.,,
st_internet_we,unavailable,,,Not collected.,,
st_internet,unavailable,,,Not collected.,,
st_videochat,unavailable,,,Not collected.,,
st_messaging_wd,unavailable,,,No weekday/weekend split.,,
st_messaging_we,unavailable,,,No weekday/weekend split.,,
st_messaging,incompatible,"YMDA1B02, YMDA1B04",,"Only smartphone texting frequencies with family and friends (YMDA1B02, YMDA1B04: Never/Rarely/Occasionally/Frequently), not durations.",,
st_creating,incompatible,YMDA1B07,,Only a smartphone frequency for taking photos/videos (YMDA1B07); no item on posting content or its duration.,,
st_email,unavailable,,,Not collected.,,
st_shopping,unavailable,,,Not collected.,,
st_total_school,unavailable,,,No item on use at school.,,
st_educational_school,unavailable,,,No item on use at school.,,
st_comp_school,unavailable,,,No item on use at school.,,
st_tablet_school,unavailable,,,No item on use at school.,,
st_internet_school,unavailable,,,No item on use at school.,,
st_phone_school,unavailable,,,No item on use at school.,,
acc_academachment_selfrated,proximate,"YINT1A00, YALL1C04","case_when(
  !is.na(YALL1C04) ~ NA_character_,
  .default = recode_values(as.numeric(YINT1A00), 5 ~ ""Very good"", 4 ~ ""Good"", 3 ~ ""Average"", c(1, 2) ~ ""Below average"")
)","Self-rated overall grades last semester, 5 points. Proximate: 'Very bad' and 'Not good' both map to 'Below average'. Code 6 (Don't know) left missing. NA on the w7 adult form (YALL1C04 answered), where it asks about university, as in wb_domainsat_schoolwork_self.",,
acc_academachment_lettergrades,unavailable,,,Not collected.,,
acc_academachment_stdtest,unavailable,,,Not collected.,,
acc_schoolengage_caresschool,incompatible,"YINT2B05, YINT2B06, YINT2B07, YINT2B08, YINT2A01, YINT2A02, YINT2A03, YINT2A04, YINT2A05, YINT2A06, YINT2A07, YINT2A08, YINT2A09, YINT2A10, YINT2A11, YINT2A12, YINT2A13, YINT2A14, YINT2A15, YINT2A16",,"Only agreement-rated items: amotivation (YINT2B05-B08, e.g. 'I do not care about the reasons for studying') and the academic enthusiasm scale (YINT2A01-A16); no frequency rating.",,
acc_schoolengage_homework,incompatible,"YTIM1H01, YTIM1H02",,"Only self-study time (YTIM1H01/02), not homework completion.",,
acc_schoolpressure_self,unavailable,,,Not collected.,,
acc_schoolbelonging_self,incompatible,"YINT2B11, YEDU1A00",,"No belonging or connectedness scale; only 'I do not feel happy while spending time at school' (YINT2B11), a single agreement item of the amotivation scale, mapped nowhere; satisfaction with the overall school experience (YEDU1A00) is on wb_domainsat_school_self.",,
acc_schoolbelonging_measure,unavailable,,,See acc_schoolbelonging_self.,,
acc_academachment_numgrades,unavailable,,,Not collected.,,
acc_academachment_teacherrated,incompatible,PFAM3A00,,Only the guardian's rating of the child's overall grades (PFAM3A00); no teacher report.,,
acc_numeracy_stdtest,unavailable,,,Not collected.,,
acc_literacy_stdtest,unavailable,,,Not collected.,,
beh_hyper_basc2,unavailable,,,BASC-2 not administered.,,
beh_atten_basc2,unavailable,,,BASC-2 not administered; see beh_atten_self.,,
beh_atten_self,compatible,"YPSY4A01, YPSY4A02, YPSY4A03, YPSY4A04, YPSY4A05, YPSY4A06, YPSY4A07","(as.numeric(YPSY4A01) +
  as.numeric(YPSY4A02) +
  as.numeric(YPSY4A03) +
  as.numeric(YPSY4A04) +
  as.numeric(YPSY4A05) +
  as.numeric(YPSY4A06) +
  as.numeric(YPSY4A07))","KCYPS seven-item concentration scale (YPSY4A01-A07), 1 = Strongly Disagree to 4 = Strongly Agree; all worded as problems, none reversed. Sum 7-28, higher = more attention problems. Self-report, all waves; no partial-completion allowance.",,
beh_atten_measure,inferred,,"""KCYPS concentration scale, 7 of 7 items, 1-4 item scoring from strongly disagree to strongly agree (range 7-28), sum, no reverse-scored items""",Describes beh_atten_self; all waves.,,
beh_selfreg_htks,unavailable,,,HTKS not administered.,,
beh_bullied,compatible,YDLQ1A06,"if_else(as.numeric(YDLQ1A06) > 1, ""TRUE"", ""FALSE"")","'Bullying others (harassment)', past-year delinquency checklist; TRUE for any occurrence. Asked from middle school on: e4 cohort from w4, older siblings from w2.",,
beh_beenbullied,compatible,"YSVL1C01, YSVL1C02, YSVL1C03, YSVL1C04, YSVL1C05, YSVL1C06","if_else(
  pmax(
    as.numeric(YSVL1C01),
    as.numeric(YSVL1C02),
    as.numeric(YSVL1C03),
    as.numeric(YSVL1C04),
    as.numeric(YSVL1C05),
    as.numeric(YSVL1C06),
    na.rm = TRUE
  ) >
    1,
  ""TRUE"",
  ""FALSE""
)","w6 (2023) only. Past-year victimisation by friends, juniors or seniors: TRUE if any of six offline types (severe teasing or mocking, ostracism, severe hitting, threats, extortion, harsh verbal abuse) occurred, FALSE if every answered type is None. Online harassment (YSVL1C07) is on beh_beenbullied_online.",,
beh_beenbullied_online,compatible,YSVL1C07,"if_else(as.numeric(YSVL1C07) > 1, ""TRUE"", ""FALSE"")","w6 (2023) only. 'Bullying or harassment (insults, threats, sexual harassment, or revealing personal information) online' by friends, juniors or seniors, past year; TRUE for any occurrence.",,
beh_bullied_online,compatible,"YDLQ2A01, YDLQ2A02, YDLQ2A03, YDLQ2A04, YDLQ2A05, YDLQ2A06, YDLQ2A07, YDLQ2A08, YDLQ2A09, YDLQ2A10, YDLQ2A11, YDLQ2A12, YDLQ2A13, YDLQ2A14, YDLQ2A15","if_else(do.call(pmax, c(lapply(tbl[sprintf(""YDLQ2A%02d"", 1:15)], as.numeric), na.rm = TRUE)) > 1, ""TRUE"", ""FALSE"")","Middle/high-school form only (m1 cohort all waves, e4 cohort from w4, siblings on that form). TRUE if any of 15 online aggression acts (e.g. abusive messages, rumours, stalking messages, exposing personal information, excluding someone from a chat) occurred in the past year, FALSE if all were None.",,
beh_fight,compatible,YDLQ1A07,"if_else(as.numeric(YDLQ1A07) > 1, ""TRUE"", ""FALSE"")","'Fighting or engaging in a brawl', past-year delinquency checklist; TRUE for any occurrence. Coverage as beh_bullied.",,
beh_truancy,compatible,"YDLQ1A03, YALL1C04","case_when(
  !is.na(YALL1C04) ~ NA_character_,
  as.numeric(YDLQ1A03) > 1 ~ ""TRUE"",
  as.numeric(YDLQ1A03) == 1 ~ ""FALSE"",
  .default = NA_character_
)","'Truancy (not going to school without notifying a guardian or teacher)', past year; TRUE for any occurrence. Not on the elementary form; NA on the w7 adult form (YALL1C04 answered; left school).",,
beh_stealing,compatible,YDLQ1A11,"if_else(as.numeric(YDLQ1A11) > 1, ""TRUE"", ""FALSE"")","'Stealing money or property', past year; TRUE for any occurrence. Not on the elementary form.",,
beh_vandalism,unavailable,,,Not collected.,,
beh_alcohol_self,compatible,YDLQ1A02,"if_else(as.numeric(YDLQ1A02) > 1, ""TRUE"", ""FALSE"")","Middle/high-school form only (m1 cohort all waves, e4 cohort from w4, siblings on that form). 'Drinking alcohol (except sips during rituals, communion, etc.)' (YDLQ1A02), past year, 6 levels from None to several times a week; TRUE for any occurrence.",,
beh_tobacco_self,compatible,YDLQ1A01,"if_else(as.numeric(YDLQ1A01) > 1, ""TRUE"", ""FALSE"")","Middle/high-school form only (m1 cohort all waves, e4 cohort from w4, siblings on that form). 'Smoking' (YDLQ1A01, product not specified), past year, 6 levels from None to several times a week; TRUE for any occurrence.",,
beh_cannabis_self,unavailable,,,Not collected.,,
beh_conduct_sdq_parent,unavailable,,,SDQ not administered.,,
beh_hyper_sdq_parent,unavailable,,,SDQ not administered.,,
beh_peerprob_sdq_parent,unavailable,,,SDQ not administered.,,
beh_prosocial_sdq_parent,unavailable,,,SDQ not administered.,,
beh_aggphys_bpaq_self,unavailable,,,BPAQ not administered; see beh_agg_self.,,
beh_aggverb_bpaq_self,unavailable,,,BPAQ not administered; see beh_agg_self.,,
beh_agganger_bpaq_self,unavailable,,,BPAQ not administered; see beh_agg_self.,,
beh_agghostility_bpaq_self,unavailable,,,BPAQ not administered; see beh_agg_self.,,
beh_agg_self,compatible,"YPSY4B01, YPSY4B02, YPSY4B03, YPSY4B04, YPSY4B05, YPSY4B06","(as.numeric(YPSY4B01) +
  as.numeric(YPSY4B02) +
  as.numeric(YPSY4B03) +
  as.numeric(YPSY4B04) +
  as.numeric(YPSY4B05) +
  as.numeric(YPSY4B06))","KCYPS six-item aggression scale (YPSY4B01-B06), 1 = Strongly Disagree to 4 = Strongly Agree; unidimensional, none reversed. Sum 6-24, higher = more aggression. Self-report, all waves; no partial-completion allowance.",,
beh_agg_measure,inferred,,"""KCYPS aggression scale, 6 of 6 items, 1-4 item scoring from strongly disagree to strongly agree (range 6-24), sum, no reverse-scored items""",Describes beh_agg_self; all waves.,,
beh_argues,incompatible,YPSY4B03,,"Only 'argue or fight back when I do not get what I want' (YPSY4B03), agreement-rated and on a triggered behaviour; scored in beh_agg_self.",,
beh_persistence_finishwork,incompatible,YPSY7A07,,"Only the Short Grit Scale item 'I finish whatever I begin' (YPSY7A07), 1-4 agreement, not a frequency rating.",,
beh_emotreg_stayscalm,incompatible,"YPSY4B01, YPSY4B05",,"Only problem-worded agreement items ('sometimes get upset over small things', YPSY4B01; 'stay angry all day long', YPSY4B05), scored in beh_agg_self.",,
beh_peerprob_makefriends,unavailable,,,Not collected.,,
beh_conduct_diagnosed,unavailable,,,Not collected.,,
beh_conduct_diagnosed_severity,unavailable,,,Not collected.,,
beh_conduct_sdq_self,unavailable,,,SDQ not administered.,,
beh_hyper_sdq_self,unavailable,,,SDQ not administered.,,
beh_peerprob_sdq_self,unavailable,,,SDQ not administered.,,
beh_prosocial_sdq_self,unavailable,,,SDQ not administered.,,
beh_conduct_sdq_teacher,unavailable,,,SDQ not administered.,,
beh_hyper_sdq_teacher,unavailable,,,SDQ not administered.,,
beh_peerprob_sdq_teacher,unavailable,,,SDQ not administered.,,
beh_prosocial_sdq_teacher,unavailable,,,SDQ not administered.,,
beh_ext_sdq_parent,unavailable,,,SDQ not administered.,,
beh_ext_sdq_self,unavailable,,,SDQ not administered.,,
beh_ext_sdq_teacher,unavailable,,,SDQ not administered.,,
beh_agg_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_atten_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_rulebreak_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_ext_cbcl_parent,unavailable,,,CBCL not administered.,,
beh_cbcl_measure,unavailable,,,CBCL not administered.,,
