target_variable,status,source_columns,expression,notes,lookup_table,measure
immigrant_background,partial,"bornuk_dv, mother_bornuk_dv, father_bornuk_dv, pidp, survey, wave","local({
  youth <- as.numeric(bornuk_dv)
  parents <- cbind(as.numeric(mother_bornuk_dv), as.numeric(father_bornuk_dv))
  uk_parent <- rowSums(parents == 1, na.rm = TRUE) > 0
  known <- rowSums(!is.na(parents)) > 0
  observed <- case_when(
    uk_parent ~ ""Native"",
    known & youth == 1 ~ ""Second-generation"",
    known & youth == 2 ~ ""First-generation"",
    .default = NA_character_
  )
  wave_order <- if_else(survey == ""BHPS"", match(substring(wave, 2), letters), 100 + match(wave, letters))
  coalesce(carry_within(observed, pidp, wave_order), ""Unknown"")
})","Born in the UK (bornuk_dv, xwavedat) for the youth and the resident mother and father figures (natural, step or adoptive). Native if either parent was born in the UK; otherwise generation by the youth's birthplace. Waves where it cannot be determined take the participant's earliest determined value (carry-forward), else Unknown. Partial: resident parent figures only; youth birthplace (asked from age 16) missing for a third of rows.",,
born_in_country,compatible,bornuk_dv,"case_when(bornuk_dv == 1 ~ ""Yes"", bornuk_dv == 2 ~ ""No"", .default = ""Unknown"")","Born in the UK (bornuk_dv, cross-wave person file), constant within participant. Unknown for about a third of rows (birthplace asked from age 16). UK is the sovereign state.",,
ses_area,unavailable,,,No area deprivation index in the EUL release.,,
ses_household,compatible,"fihhmngrs_dv, ieqmoecd_dv, hhsize, nkids_dv, wave","local({
  scale <- coalesce(
    as.numeric(ieqmoecd_dv),
    1 + 0.5 * pmax(as.numeric(hhsize) - as.numeric(nkids_dv) - 1, 0) + 0.3 * as.numeric(nkids_dv)
  )
  income <- as.numeric(fihhmngrs_dv) / scale
  low <- stats::ave(income, wave, FUN = function(x) stats::quantile(x, 0.4, na.rm = TRUE, names = FALSE))
  high <- stats::ave(income, wave, FUN = function(x) stats::quantile(x, 0.6, na.rm = TRUE, names = FALSE))
  case_when(income <= low ~ ""Low"", income <= high ~ ""Medium"", income > high ~ ""High"", .default = ""Unknown"")
})","Gross monthly household income (fihhmngrs_dv), modified-OECD equivalised: UKHLS ieqmoecd_dv; BHPS approximated (1 first adult, 0.5 each other adult, 0.3 per child under 16). Cut 40/20/40 within wave: at or below the 40th percentile Low, above the 60th High. Negative incomes (UKHLS self-employment losses) are Low.",,
ses_household_measure,inferred,,"""Income: OECD-equivalised gross monthly household income""",Names the measure behind ses_household.,,
ses_hukou,unavailable,,,Not a Chinese dataset.,,
maternal_education,compatible,mother_hiqual_dv,"coalesce(
  lookup_values(
    haven::as_factor(mother_hiqual_dv),
    lookup_maternal_education,
    dataset_id = spec$dataset_id,
    target_variable = ""maternal_education""
  ),
  ""Unknown""
)","Highest qualification (hiqual_dv) from the mother's own adult interview, joined via mnspno. Degree = bachelor+; other higher degree (sub-degree HE) = post-secondary; A-level (ISCED 3)/GCSE/other/none = secondary or less. Unknown if mother not resident or not interviewed.",maternal_education,
paternal_education,compatible,father_hiqual_dv,"coalesce(
  lookup_values(
    haven::as_factor(father_hiqual_dv),
    lookup_maternal_education,
    dataset_id = spec$dataset_id,
    target_variable = ""maternal_education""
  ),
  ""Unknown""
)","Highest qualification (hiqual_dv) from the resident father figure's own adult interview, joined via fnspno; mapped through the shared education lookup as maternal_education. Unknown if no resident father or not interviewed.",maternal_education,
parental_education,compatible,"mother_hiqual_dv, father_hiqual_dv","local({
  code <- pmin(as.numeric(mother_hiqual_dv), as.numeric(father_hiqual_dv), na.rm = TRUE)
  labels <- attr(mother_hiqual_dv, ""labels"")
  coalesce(
    lookup_values(
      names(labels)[match(code, labels)],
      lookup_maternal_education,
      dataset_id = spec$dataset_id,
      target_variable = ""maternal_education""
    ),
    ""Unknown""
  )
})","Higher of the resident mother's and father's highest qualification (hiqual_dv, 1 degree to 9 none, so the lower code), or whichever is known; mapped through the shared education lookup as maternal_education.",maternal_education,
urbanicity,proximate,urban_dv,"recode_values(as.numeric(urban_dv), 1 ~ ""Urban"", 2 ~ ""Rural"", default = ""Unknown"")","UKHLS only. Urban or rural classification of the address (urban_dv); binary, so Suburban is never emitted. BHPS rows Unknown (no BHPS urban/rural column read).",,
family_structure,proximate,"survey, mnspno, fnspno, mnpno, fnpno","local({
  mother <- as.numeric(mnspno) > 0
  father <- as.numeric(fnspno) > 0
  natural <- as.numeric(mnpno) == as.numeric(mnspno) & as.numeric(fnpno) == as.numeric(fnspno)
  case_when(
    mother & father & survey == ""BHPS"" ~ ""Two biological/adoptive parents"",
    mother & father & natural ~ ""Two biological/adoptive parents"",
    mother & father ~ ""Step family"",
    mother | father ~ ""Single parent"",
    !mother & !father ~ ""Other"",
    .default = ""Unknown""
  )
})","From resident parent-figure person numbers (mnspno/fnspno; 0 = none) and, UKHLS only, natural-parent numbers (mnpno/fnpno). Two natural = two biological/adoptive; other two-parent = step family; one = single parent; none = other. Proximate: UKHLS adoptive parents count as step-parents, and BHPS cannot separate step or adoptive from natural parents, so its step families count as two-parent.",,
fam_screenrules,partial,ytvlmt,"case_when(ytvlmt == 1 ~ TRUE, ytvlmt == 2 ~ FALSE, .default = NA)","BHPS waves 4-6 only. Youth self-report (BHPS youth questionnaire): 'Parents set limits on amount of TV?' (ytvlmt), yes/no. Partial: TV only; no other device or timing rule asked. 'Don't own a TV' left NA.",,
fam_bedroomscreen,partial,yptvbr,"case_when(yptvbr == 1 ~ TRUE, yptvbr == 2 ~ FALSE, .default = NA)","BHPS waves 5, 6 and 17 only. Youth self-report (BHPS youth questionnaire): 'TV in bedroom' (yptvbr), yes/no. Partial: TV only.",,
fam_parentstress,unavailable,,,Not collected.,,
fam_parentstress_measure,unavailable,,,See fam_parentstress.,,
school_grade,unavailable,,,No school year or grade in the youth files.,,
st_measure_type,inferred,,"""Categorical""",Every screen-time item is a banded hours question.,,
st_measure_name,inferred,,"""Custom""","Bespoke BHPS/UKHLS items, not a named instrument.",,
st_responder,inferred,,"""Self""",Youth self-completion questionnaire.,,
st_total_wd,compatible,"yptvvidhrs, wave","if_else(
  wave %in% c(""l"", ""m"", ""n"", ""o""),
  recode_values(as.numeric(yptvvidhrs), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7),
  NA_real_
)","UKHLS waves 12-15: 'On a normal school day, how many hours do you spend using a tablet, TV, smartphone, games console or computer?' (yptvvidhrs; the .dta label still says watching TV). Waves 1-11 go to st_watch_wd. Bands: none 0, less than an hour 0.5, 1-3 hours 2, 4-6 hours 5, 7 or more hours 7.",,
st_total_we,compatible,"yptvvidhrw, wave","if_else(
  wave %in% c(""l"", ""m"", ""n"", ""o""),
  recode_values(as.numeric(yptvvidhrw), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7),
  NA_real_
)",UKHLS waves 12-15: weekend (Saturday or Sunday) counterpart of st_total_wd (yptvvidhrw). Bands as st_total_wd (7 or more hours = 7).,,
st_total,compatible,"yptvvidhrs, yptvvidhrw, wave","if_else(
  wave %in% c(""l"", ""m"", ""n"", ""o""),
  (recode_values(as.numeric(yptvvidhrs), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7) *
    5 +
    recode_values(as.numeric(yptvvidhrw), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7) * 2) /
    7,
  NA_real_
)",UKHLS waves 12-15: (5 x st_total_wd + 2 x st_total_we) / 7. Top band 7 or more hours = 7.,,
st_watch_wd,partial,"survey, ytvhrs, yptvvidhrs, wave","case_when(
  survey == ""BHPS"" ~ recode_values(as.numeric(ytvhrs), 1 ~ 0.5, 2 ~ 2, 3 ~ 5, 4 ~ 7),
  !wave %in% c(""l"", ""m"", ""n"", ""o"") ~ recode_values(as.numeric(yptvvidhrs), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7),
  .default = NA_real_
)","BHPS waves 4-18: hours watching TV on a school day (ytvhrs). UKHLS waves 1-11 (yptvvidhrs), on a normal school day: TV including video and DVDs (waves 1-8); programmes or films on any device (waves 9-11). Waves 12-15 go to st_total_wd. Partial: BHPS and UKHLS waves 1-8 ask about the TV set only. Bands: none 0, less than an hour 0.5 (BHPS 'none/less than an hour' 0.5), 1-3 hours 2, 4-6 hours 5, 7 or more hours 7.",,
st_watch_we,partial,"yptvvidhrw, wave","if_else(
  wave %in% c(""b"", ""d"", ""f"", ""h"", ""j""),
  recode_values(as.numeric(yptvvidhrw), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7),
  NA_real_
)","UKHLS waves 2, 4, 6, 8, 10: hours watching on a weekend day (yptvvidhrw), TV including video and DVDs (waves 2-8) or programmes and films on any device (wave 10). BHPS asked school days only; waves 12-15 go to st_total_we. Partial: waves 2-8 ask about the TV set only. Bands as st_watch_wd (7 or more hours = 7).",,
st_watch,partial,"yptvvidhrs, yptvvidhrw, wave","if_else(
  wave %in% c(""b"", ""d"", ""f"", ""h"", ""j""),
  (recode_values(as.numeric(yptvvidhrs), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7) *
    5 +
    recode_values(as.numeric(yptvvidhrw), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7) * 2) /
    7,
  NA_real_
)","UKHLS waves 2, 4, 6, 8, 10: (5 x st_watch_wd + 2 x st_watch_we) / 7. Partial: waves 2-8 ask about the TV set only. Top band 7 or more hours = 7.",,
st_game_wd,partial,"ypcpgs, ypcomp, ypconstm, ypconsol, wave","local({
  asked <- wave %in% c(""a"", ""c"", ""e"", ""g"", ""j"")
  computer <- case_when(
    as.numeric(ypcomp) %in% c(2, 3) ~ 0,
    .default = recode_values(as.numeric(ypcpgs), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
  )
  console <- case_when(
    as.numeric(ypconsol) == 2 ~ 0,
    .default = recode_values(as.numeric(ypconstm), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
  )
  if_else(asked, computer + console, NA_real_)
})","UKHLS waves 1, 3, 5, 7, 10: sum of ypcpgs, ypconstm (DR-0002), non-users 0 as in st_game_comp_wd and st_game_console_wd. NA when computer or console hours are unanswered (193 rows); left for imputation. Partial: no phone, tablet or handheld gaming asked, and computer gaming is on the home computer only. Bands as st_game_comp_wd (7 or more hours = 7).",,
st_game_we,unavailable,,,"Gaming hours asked school day only (UKHLS waves 1, 3, 5, 7, 10); no weekend item.",,
st_game,incompatible,"ypcpgs, ypconstm",,Weekday items only; no usual-day value.,,
st_game_comp_wd,compatible,"ypcpgs, ypcomp, wave","case_when(
  !wave %in% c(""a"", ""c"", ""e"", ""g"", ""j"") ~ NA_real_,
  as.numeric(ypcomp) %in% c(2, 3) ~ 0,
  .default = recode_values(as.numeric(ypcpgs), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
)","UKHLS waves 1, 3, 5, 7, 10: hours using the home computer for games on a normal school day (ypcpgs). No home computer or not using one (ypcomp 2, 3) is routed past the item: 0. Bands: none 0, less than an hour 0.5, 1-3 hours 2, 4-6 hours 5, 7 or more hours 7. BHPS asks frequency only.",,
st_game_comp_we,unavailable,,,See st_game_we.,,
st_game_comp,incompatible,ypcpgs,,Weekday items only; no usual-day value.,,
st_game_console_wd,compatible,"ypconstm, ypconsol, wave","case_when(
  !wave %in% c(""a"", ""c"", ""e"", ""g"", ""j"") ~ NA_real_,
  as.numeric(ypconsol) == 2 ~ 0,
  .default = recode_values(as.numeric(ypconstm), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
)","UKHLS waves 1, 3, 5, 7, 10: hours playing games on a games console (PlayStation, X-Box, Wii etc.) on a normal school day (ypconstm). No console in the household (ypconsol 2) is routed past the item: 0. Bands: none 0, less than an hour 0.5, 1-3 hours 2, 4-6 hours 5, 7 or more hours 7.",,
st_game_console_we,unavailable,,,See st_game_we.,,
st_game_console,incompatible,ypconstm,,Weekday items only; no usual-day value.,,
st_game_handheldconsole_wd,unavailable,,,Not collected.,,
st_game_handheldconsole_we,unavailable,,,Not collected.,,
st_game_handheldconsole,unavailable,,,Not collected.,,
st_game_active_wd,unavailable,,,Not collected.,,
st_game_active_we,unavailable,,,Not collected.,,
st_game_active,unavailable,,,Not collected.,,
st_game_phone_wd,unavailable,,,Not collected.,,
st_game_phone_we,unavailable,,,Not collected.,,
st_game_phone,unavailable,,,Not collected.,,
st_game_tablet_wd,unavailable,,,Not collected.,,
st_game_tablet_we,unavailable,,,Not collected.,,
st_game_tablet,unavailable,,,Not collected.,,
st_comp_nongaming_wd,unavailable,,,No weekday/weekend split.,,
st_comp_nongaming_we,unavailable,,,No weekday/weekend split.,,
st_comp_nongaming,incompatible,"yppchw, yppcnt",,"Frequency of computer use for homework (yppchw, UKHLS) or for the internet and email (yppcnt, BHPS) only; not a duration.",,
st_comp_wd,unavailable,,,No weekday/weekend split.,,
st_comp_we,unavailable,,,No weekday/weekend split.,,
st_comp,incompatible,"ypcomp, yppchw, ypfpc",,UKHLS asks home computer use (ypcomp) and schoolwork frequency (yppchw); BHPS asks frequency (ypfpc). Neither is a duration.,,
st_tablet_wd,unavailable,,,No weekday/weekend split.,,
st_tablet_we,unavailable,,,No weekday/weekend split.,,
st_tablet,incompatible,ypdevice3,,"Only tablet ownership asked (ypdevice3, UKHLS waves 12-15), not time.",,
st_phone_wd,unavailable,,,No weekday/weekend split.,,
st_phone_we,unavailable,,,No weekday/weekend split.,,
st_phone,incompatible,"ypmobu, ypsmartph",,"Only phone and smartphone ownership asked, not time.",,
st_socmedia_wd,partial,"ypnetcht, ypsocweb","case_when(
  as.numeric(ypsocweb) == 2 ~ 0,
  .default = recode_values(as.numeric(ypnetcht), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
)","UKHLS waves 1-15: hours chatting or interacting with friends through a social web-site or app on a normal school day or weekday (ypnetcht), asked of account holders (ypsocweb); wave 15 adds gaming websites. No account (ypsocweb 2) = 0; 3 wave-7 answers coded 9 (unlabelled) = missing. Partial: chatting with friends only. Bands: none 0, less than an hour 0.5, 1-3 hours 2, 4-6 hours 5, 7 or more hours 7.",,
st_socmedia_we,partial,"ypnetchtw, ypsocweb, wave","case_when(
  !wave %in% c(""l"", ""m"", ""n"", ""o"") ~ NA_real_,
  as.numeric(ypsocweb) == 2 ~ 0,
  .default = recode_values(as.numeric(ypnetchtw), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
)","UKHLS waves 12-15: weekend counterpart of st_socmedia_wd (ypnetchtw), same routing and zeroing; its garbled .dta value labels are replaced in the tidier with the weekday item's, per the printed questionnaire. Partial as st_socmedia_wd. Bands as st_socmedia_wd (7 or more hours = 7).",,
st_socmedia,partial,"ypnetcht, ypnetchtw, ypsocweb, wave","local({
  wd <- case_when(
    as.numeric(ypsocweb) == 2 ~ 0,
    .default = recode_values(as.numeric(ypnetcht), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
  )
  we <- case_when(
    as.numeric(ypsocweb) == 2 ~ 0,
    .default = recode_values(as.numeric(ypnetchtw), 1 ~ 0, 2 ~ 0.5, 3 ~ 2, 4 ~ 5, 5 ~ 7)
  )
  if_else(wave %in% c(""l"", ""m"", ""n"", ""o""), (wd * 5 + we * 2) / 7, NA_real_)
})",UKHLS waves 12-15: (5 x st_socmedia_wd + 2 x st_socmedia_we) / 7. Partial as st_socmedia_wd. Top band 7 or more hours = 7.,,
st_educational_wd,unavailable,,,No weekday/weekend split.,,
st_educational_we,unavailable,,,No weekday/weekend split.,,
st_educational,incompatible,"yppchw, ypdvhm",,"Frequency of computer/device use for schoolwork (UKHLS waves 1-10, 12, 14), every day to never; not a duration.",,
st_work_wd,unavailable,,,Not collected.,,
st_work_we,unavailable,,,Not collected.,,
st_work,unavailable,,,Not collected.,,
st_internet_wd,unavailable,,,No weekday/weekend split.,,
st_internet_we,unavailable,,,No weekday/weekend split.,,
st_internet,incompatible,"ypcintnt, yppcnt",,"Frequency of home internet use (UKHLS waves 1-10) or PC internet/email use (BHPS), every day to never; not a duration.",,
st_videochat,incompatible,ypdvvc,,"Frequency of video-calling device use (UKHLS waves 12, 14), every day to never; not a duration.",,
st_messaging_wd,unavailable,,,Not collected.,,
st_messaging_we,unavailable,,,Not collected.,,
st_messaging,unavailable,,,Not collected.,,
st_creating,incompatible,ypdvcrt,,"Frequency of posting pictures/videos (UKHLS waves 12, 14), every day to never; not a duration.",,
st_email,incompatible,yppcnt,,"BHPS asks frequency of PC internet/email use (yppcnt), not duration.",,
st_shopping,unavailable,,,Not collected.,,
st_total_school,unavailable,,,No item on use at school.,,
st_educational_school,unavailable,,,No item on use at school.,,
st_comp_school,unavailable,,,No item on use at school.,,
st_tablet_school,unavailable,,,No item on use at school.,,
st_internet_school,unavailable,,,No item on use at school.,,
st_phone_school,unavailable,,,No item on use at school.,,
acc_academachment_selfrated,unavailable,,,Not collected.,,
acc_academachment_lettergrades,unavailable,,,Not collected.,,
acc_academachment_stdtest,unavailable,,,Not collected.,,
acc_schoolengage_caresschool,incompatible,"ypopsc, ypacvs, ypacvwell",,"Degree not frequency: 'how much it means to do well at school' (BHPS); importance of doing well in GCSEs (BHPS, UKHLS).",,
acc_schoolengage_homework,incompatible,"yphmwrk, ypfhmwrk, yphmwkhrs",,"UKHLS asks whether/how often homework is set and hours spent, not completion.",,
acc_schoolpressure_self,unavailable,,,Not collected.,,
acc_schoolbelonging_self,incompatible,yphsc,,"No belonging or connectedness scale; only 'How do you feel about ... the school you go to?' (yphsc), a satisfaction item mapped to wb_domainsat_school_self.",,
acc_schoolbelonging_measure,unavailable,,,See acc_schoolbelonging_self.,,
acc_academachment_numgrades,unavailable,,,Not collected.,,
acc_academachment_teacherrated,unavailable,,,Not collected.,,
acc_numeracy_stdtest,unavailable,,,Not collected.,,
acc_literacy_stdtest,unavailable,,,Not collected.,,
beh_hyper_basc2,unavailable,,,BASC-2 not administered; see beh_hyper_sdq_self.,,
beh_atten_basc2,unavailable,,,BASC-2 not administered; see beh_hyper_sdq_self.,,
beh_atten_self,incompatible,ypsdqha_dv,,SDQ hyperactivity/inattention subscale only; mapped to beh_hyper_sdq_self.,,
beh_atten_measure,unavailable,,,See beh_atten_self.,,
beh_selfreg_htks,unavailable,,,HTKS not administered.,,
beh_bullied,compatible,"ypfrpbully, ypfrobully","local({
  worst <- pmax(as.numeric(ypfrpbully), as.numeric(ypfrobully), na.rm = TRUE)
  case_when(worst >= 2 ~ ""TRUE"", worst == 1 ~ ""FALSE"", .default = NA_character_)
})","UKHLS odd waves: physically bullies others at school, or bullies them in other ways. Last 6 months: never, not much (1-3 times), quite a lot (more than 4 times), a lot (a few times every week). TRUE for any occurrence of either.",,
beh_beenbullied,compatible,"ypfrpbulli, ypfrobulli","local({
  worst <- pmax(as.numeric(ypfrpbulli), as.numeric(ypfrobulli), na.rm = TRUE)
  case_when(worst >= 2 ~ ""TRUE"", worst == 1 ~ ""FALSE"", .default = NA_character_)
})","UKHLS odd waves: physically bullied at school, or bullied in other ways (e.g. name-calling, left out). Scale as beh_bullied; TRUE for any occurrence of either.",,
beh_beenbullied_online,compatible,ypnetbulli,"recode_values(as.numeric(ypnetbulli), 1 ~ ""FALSE"", c(2, 3, 4) ~ ""TRUE"")","UKHLS waves 13, 15: how often bullied online (e.g. hurtful names, nasty stories). Scale as beh_bullied; TRUE for any occurrence.",,
beh_bullied_online,compatible,ypnetbully,"recode_values(as.numeric(ypnetbully), 1 ~ ""FALSE"", c(2, 3, 4) ~ ""TRUE"")","UKHLS waves 13, 15: bullies others online (e.g. hurtful names, nasty stories). Scale as beh_bullied; TRUE for any occurrence.",,
beh_fight,compatible,ypfght,"recode_values(as.numeric(ypfght), 1 ~ ""FALSE"", c(2, 3, 4, 5) ~ ""TRUE"")","'Number of times fighting in the past month', every BHPS wave and UKHLS waves 3, 5, 7, 10, 12, 14. TRUE for any fight.",,
beh_truancy,partial,"yptruant, yptrun","coalesce(
  recode_values(as.numeric(yptruant), 1 ~ ""TRUE"", 2 ~ ""FALSE""),
  recode_values(as.numeric(yptrun), 1 ~ ""FALSE"", c(2, 3, 4) ~ ""TRUE"")
)","UKHLS every wave: played truant in the last 12 months, even a half day or single lesson (yes/no). BHPS waves 7-18: 'played truant from school' (never/once or twice/several times/often), TRUE for any occurrence. Partial: BHPS recall period undocumented (likely past year, asked beside the past-year vandalism item).",,
beh_stealing,partial,ypshop,"recode_values(as.numeric(ypshop), 1 ~ ""FALSE"", c(2, 3, 4) ~ ""TRUE"")","UKHLS waves 3, 5, 7, 10, 12, 14: taken something from a shop without paying, past year (never/once or twice/several times/often); TRUE for any occurrence. Partial: shoplifting only. BHPS has no stealing item.",,
beh_vandalism,compatible,ypvand,"recode_values(as.numeric(ypvand), 1 ~ ""FALSE"", c(2, 3, 4) ~ ""TRUE"")","UKHLS waves 3, 5, 7, 10, 12, 14: deliberately broken or damaged property not yours, past year. BHPS waves 7-11, 17: 'vandalised property in past year'. Both never/once or twice/several times/often; TRUE for any occurrence.",,
beh_alcohol_self,compatible,"ypdklm, ypevralc, ypdklm_bh","case_when(
  ypdklm %in% 1:4 ~ TRUE,
  ypdklm %in% 5:6 ~ FALSE,
  ypevralc == 2 ~ FALSE,
  ypdklm_bh == 1 ~ FALSE,
  ypdklm_bh %in% 2:3 ~ TRUE,
  .default = NA
)","UKHLS: times had an alcoholic drink in the last 4 weeks (ypdklm); never-drinkers (ypevralc 2) routed past it are FALSE. BHPS waves 5-8, 15, 17-18: alcoholic drinks in the past month (ypdklm_bh). TRUE for any occurrence. Recall 4 weeks / 1 month.",,
beh_tobacco_self,partial,"ypevrsmo, ypsmofrq, ypsmof, ypsmev","case_when(
  ypevrsmo == 2 ~ FALSE,
  ypsmofrq %in% 1:2 ~ FALSE,
  ypsmofrq %in% 3:5 ~ TRUE,
  ypsmof %in% 1:3 ~ FALSE,
  ypsmof %in% 4:5 ~ TRUE,
  ypsmev == 2 ~ FALSE,
  .default = NA
)","Current cigarette smoking. UKHLS: ever smoked (ypevrsmo) then smoking frequency (ypsmofrq); BHPS: how often do you smoke (ypsmof), never-tried (ypsmev 2) FALSE. Sometimes or regularly TRUE; never, once or twice, or used to FALSE. Current status with no stated recall, so partial.",,
beh_cannabis_self,partial,ypdrgmj,"case_when(ypdrgmj == 1 ~ TRUE, ypdrgmj == 2 ~ FALSE, .default = NA)","UKHLS waves 2, 4, ..., 14: 'Have you ever tried any of the following? Cannabis' (ypdrgmj), yes/no. Lifetime, so partial.",,
beh_conduct_sdq_parent,unavailable,,,UKHLS asks parents the SDQ only about children aged 5 and 8 (w_child); none of this dataset's youths (10-15) qualify.,,
beh_hyper_sdq_parent,unavailable,,,See beh_conduct_sdq_parent.,,
beh_peerprob_sdq_parent,unavailable,,,See beh_conduct_sdq_parent.,,
beh_prosocial_sdq_parent,unavailable,,,See beh_conduct_sdq_parent.,,
beh_aggphys_bpaq_self,unavailable,,,BPAQ-SF not administered; see beh_agg_self.,,
beh_aggverb_bpaq_self,unavailable,,,BPAQ-SF not administered; see beh_agg_self.,,
beh_agganger_bpaq_self,unavailable,,,BPAQ-SF not administered; see beh_agg_self.,,
beh_agghostility_bpaq_self,unavailable,,,BPAQ-SF not administered; see beh_agg_self.,,
beh_agg_self,incompatible,"ypfght, ypsdqcp_dv",,Only a fight count (beh_fight) and the SDQ conduct subscale (beh_conduct_sdq_self); no aggression scale.,,
beh_agg_measure,unavailable,,,See beh_agg_self.,,
