target_variable,status,source_columns,expression,notes,lookup_table,measure
maternal_education,proximate,12.1_mother_education,"lookup_values(
  `12.1_mother_education`,
  lookup_maternal_education,
  dataset_id = spec$dataset_id,
  target_variable = ""maternal_education"",
  default = ""Unknown""
)","Kuppuswamy education scale, unlabelled. Order read off trial report: collapsing 1-2/3/4-5/6-7 reproduces its control-arm mother's-education table (12.6/15.9/27.8/43.7 vs published 12.9/14.7/27.6/44.1), fixing 1=illiterate, 7=profession/honours. Via lookups/maternal_education.csv. PLUMS report (doi:10.3389/fpubh.2024.1367776).",maternal_education,
paternal_education,proximate,Q12_father_education,"recode_values(
  Q12_father_education,
  c(1, 2, 3, 4) ~ ""Secondary school or less"",
  5 ~ ""Post-secondary"",
  c(6, 7) ~ ""Bachelor degree or higher"",
  default = ""Unknown""
)",Mirrors maternal_education's Kuppuswamy collapse (no shared paternal lookup file); reproduces the trial's father's-education table for control (9.9/19.2/28.5/42.4 vs published 10.6/18.2/28.8/42.4).,,
parental_education,proximate,"Q12_father_education, 12.1_mother_education","recode_values(
  pmax(Q12_father_education, `12.1_mother_education`, na.rm = TRUE),
  c(1, 2, 3, 4) ~ ""Secondary school or less"",
  5 ~ ""Post-secondary"",
  c(6, 7) ~ ""Bachelor degree or higher"",
  default = ""Unknown""
)",Higher of the two parents' Kuppuswamy codes (higher code = higher level). Uses the recorded parent's level when only one is available.,,
urbanicity,inferred,,"""Urban""","Whole field area urban (Union Territory zone 3: urban colonies, resettlement colonies, urbanised villages); no rural stratum. `Q7_What_is_your_place_of_residence` is neighbourhood type; see ses_area. PLUMS trial report (doi:10.3389/fpubh.2024.1367776).",,
family_structure,proximate,Q3_What_is_the_marital_status_of_the_parents,"recode_values(
  Q3_What_is_the_marital_status_of_the_parents,
  1 ~ ""Two biological/adoptive parents"",
  c(2, 3) ~ ""Single parent"",
  default = ""Unknown""
)","Parents' marital status, unlabelled: code 1 (727/739 non-missing) read as married, codes 2-3 (12 rows) as separated/divorced and widowed. Married assumed to be two co-resident biological parents. `Q11` (nuclear vs joint household) not used.",,
school_grade,unavailable,,,Not yet in school (age 2-5 at entry); no grade recorded.,,
st_measure_type,inferred,,"""Continuous""","Continuous per-device minutes/day, not banded.",,
st_measure_name,inferred,,"""Digital Screen Exposure Questionnaire (DSEQ)""",86-item caregiver questionnaire developed for the trial; no copy supplied. PLUMS report (doi:10.3389/fpubh.2024.1367776).,,
st_responder,inferred,Q2_Who_is_the_primary_caregiver_of_the_child,"""Parent or carer""",Caregiver-reported throughout (94% mothers); the caregiver-identity item itself is unlabelled and unused.,,
st_total_wd,compatible,"19.6duration_WATCHES_TV.WKD, Q19.7duration_SMART_PHONE.WKD, Q19.8Duration_OTHER_GADGETS.WKD","sum_nonmissing(`19.6duration_WATCHES_TV.WKD`, Q19.7duration_SMART_PHONE.WKD, Q19.8Duration_OTHER_GADGETS.WKD) / 60","Sum of the 3 device durations on working/school days, minutes to hours. Not from `WKD.ST` (not recomputed in endline intervention sheet). Educational/online-class time excluded (content category, DR-0002).",,
st_total_we,compatible,"Q19.12duration_WATCHES_TV.WND, Q19.13duration_SMARTPHONE.WND, Q19.14durationOTHER_GADGETS.WND","sum_nonmissing(Q19.12duration_WATCHES_TV.WND, Q19.13duration_SMARTPHONE.WND, Q19.14durationOTHER_GADGETS.WND) / 60",Same 3 devices on holidays; not from `WND.ST` (differs from the item sum in 4% of rows). `Q19.14durationOTHER_GADGETS.WND` is a true zero throughout.,,
st_total,compatible,"19.6duration_WATCHES_TV.WKD, Q19.7duration_SMART_PHONE.WKD, Q19.8Duration_OTHER_GADGETS.WKD, Q19.12duration_WATCHES_TV.WND, Q19.13duration_SMARTPHONE.WND, Q19.14durationOTHER_GADGETS.WND","(sum_nonmissing(`19.6duration_WATCHES_TV.WKD`, Q19.7duration_SMART_PHONE.WKD, Q19.8Duration_OTHER_GADGETS.WKD) *
  5 +
  sum_nonmissing(Q19.12duration_WATCHES_TV.WND, Q19.13duration_SMARTPHONE.WND, Q19.14durationOTHER_GADGETS.WND) * 2) /
  7 /
  60","5:2 weighted mean. `AV.ST` not used: unweighted mean of the two day types, the basis of the trial's published baseline means (123.1/130.5 min).",,
st_watch_wd,compatible,19.6duration_WATCHES_TV.WKD,`19.6duration_WATCHES_TV.WKD` / 60,"TV minutes per working/school day. DSEQ, caregiver-reported, minutes/day for working/school days and holidays separately.",,
st_watch_we,compatible,Q19.12duration_WATCHES_TV.WND,Q19.12duration_WATCHES_TV.WND / 60,TV minutes on a holiday.,,
st_watch,compatible,"19.6duration_WATCHES_TV.WKD, Q19.12duration_WATCHES_TV.WND",(`19.6duration_WATCHES_TV.WKD` * 5 + Q19.12duration_WATCHES_TV.WND * 2) / 7 / 60,5:2 weighted mean.,,
st_game_wd,incompatible,,,"Q25.7 (video games) is frequency only (1-5 scale), no duration.",,
st_game_we,incompatible,,,See st_game_wd.,,
st_game,incompatible,,,See st_game_wd.,,
st_game_comp_wd,incompatible,,,See st_game_wd.,,
st_game_comp_we,incompatible,,,See st_game_wd.,,
st_game_comp,incompatible,,,See st_game_wd.,,
st_game_console_wd,incompatible,,,See st_game_wd.,,
st_game_console_we,incompatible,,,See st_game_wd.,,
st_game_console,incompatible,,,See st_game_wd.,,
st_game_handheldconsole_wd,incompatible,,,See st_game_wd.,,
st_game_handheldconsole_we,incompatible,,,See st_game_wd.,,
st_game_handheldconsole,incompatible,,,See st_game_wd.,,
st_game_active_wd,incompatible,,,See st_game_wd.,,
st_game_active_we,incompatible,,,See st_game_wd.,,
st_game_active,incompatible,,,See st_game_wd.,,
st_game_phone_wd,incompatible,,,See st_game_wd.,,
st_game_phone_we,incompatible,,,See st_game_wd.,,
st_game_phone,incompatible,,,See st_game_wd.,,
st_game_tablet_wd,incompatible,,,See st_game_wd.,,
st_game_tablet_we,incompatible,,,See st_game_wd.,,
st_game_tablet,incompatible,,,See st_game_wd.,,
st_comp_nongaming_wd,incompatible,,,"DSEQ's third device, `OTHER_GADGETS`, is undefined (inventory glosses it as hand-held game devices and tablets); cannot be assigned to tablet or computer, so counted only in st_total_*.",,
st_comp_nongaming_we,incompatible,,,See st_comp_nongaming_wd.,,
st_comp_nongaming,incompatible,,,See st_comp_nongaming_wd.,,
st_comp_wd,incompatible,,,See st_comp_nongaming_wd.,,
st_comp_we,incompatible,,,See st_comp_nongaming_wd.,,
st_comp,incompatible,,,See st_comp_nongaming_wd.,,
st_tablet_wd,incompatible,,,See st_comp_nongaming_wd.,,
st_tablet_we,incompatible,,,See st_comp_nongaming_wd.,,
st_tablet,incompatible,,,See st_comp_nongaming_wd.,,
st_phone_wd,compatible,Q19.7duration_SMART_PHONE.WKD,Q19.7duration_SMART_PHONE.WKD / 60,"Smartphone minutes per working/school day; covers all phone use, not social media specifically.",,
st_phone_we,compatible,Q19.13duration_SMARTPHONE.WND,Q19.13duration_SMARTPHONE.WND / 60,Smartphone minutes on a holiday.,,
st_phone,compatible,"Q19.7duration_SMART_PHONE.WKD, Q19.13duration_SMARTPHONE.WND",(Q19.7duration_SMART_PHONE.WKD * 5 + Q19.13duration_SMARTPHONE.WND * 2) / 7 / 60,5:2 weighted mean.,,
st_socmedia_wd,unavailable,,,Not asked (age 2-5).,,
st_socmedia_we,unavailable,,,See st_socmedia_wd.,,
st_socmedia,unavailable,,,See st_socmedia_wd.,,
st_educational_wd,unavailable,,,No day-type split; see st_educational.,,
st_educational_we,unavailable,,,See st_educational_wd.,,
st_educational,partial,"Online.class.ST, Educational.ST","coalesce(suppressWarnings(as.numeric(Online.class.ST)), as.numeric(Educational.ST)) / 60","Baseline sheets: `Online.class.ST`; midline/endline: `Educational.ST` (`Online.ST` in intervention sheets). Same position and 0-90 min range, so treated as one item. Partial: no day-type suffix, read as a usual day. One baseline row holds text 'POEM' -> NA.",,
st_work_wd,unavailable,,,Not asked (age 2-5).,,
st_work_we,unavailable,,,See st_work_wd.,,
st_work,unavailable,,,See st_work_wd.,,
st_internet_wd,unavailable,,,No 'time online' item; DSEQ asks by device.,,
st_internet_we,unavailable,,,See st_internet_wd.,,
st_internet,unavailable,,,See st_internet_wd.,,
st_videochat,incompatible,,,"Q25.1 (video calling) is frequency only (1-5 scale), no duration.",,
st_messaging_wd,incompatible,,,See st_videochat.,,
st_messaging_we,incompatible,,,See st_videochat.,,
st_messaging,incompatible,,,See st_videochat.,,
st_creating,unavailable,,,See st_work_wd.,,
st_email,unavailable,,,See st_work_wd.,,
st_shopping,unavailable,,,See st_work_wd.,,
st_total_school,unavailable,,,No school-based screen-use items (preschool cohort).,,
st_educational_school,unavailable,,,See st_total_school.,,
st_comp_school,unavailable,,,See st_total_school.,,
st_tablet_school,unavailable,,,See st_total_school.,,
st_internet_school,unavailable,,,See st_total_school.,,
st_phone_school,unavailable,,,See st_total_school.,,
acc_academachment_selfrated,unavailable,,,"No achievement/school-engagement measure; preschool cohort, not yet in school.",,
acc_academachment_lettergrades,unavailable,,,See acc_academachment_selfrated.,,
acc_academachment_stdtest,unavailable,,,See acc_academachment_selfrated.,,
acc_schoolengage_caresschool,unavailable,,,See acc_academachment_selfrated.,,
acc_schoolengage_homework,unavailable,,,See acc_academachment_selfrated.,,
acc_academachment_numgrades,unavailable,,,See acc_academachment_selfrated.,,
acc_academachment_teacherrated,unavailable,,,See acc_academachment_selfrated.,,
acc_numeracy_stdtest,unavailable,,,See acc_academachment_selfrated.,,
acc_literacy_stdtest,unavailable,,,See acc_academachment_selfrated.,,
beh_hyper_basc2,unavailable,,,No BASC-2 or HTKS assessment.,,
beh_atten_basc2,unavailable,,,See beh_hyper_basc2.,,
beh_atten_self,unavailable,,,Nothing self-reported; caregiver report only (age 2-5).,,
beh_selfreg_htks,unavailable,,,See beh_hyper_basc2.,,
beh_bullied,unavailable,,,No bullying item (age 2-5).,,
beh_beenbullied,unavailable,,,See beh_bullied.,,
beh_beenbullied_online,unavailable,,,See beh_bullied.,,
beh_bullied_online,unavailable,,,See beh_bullied.,,
beh_fight,incompatible,"Q35_Gets_in_many_fights, Q53_Physically_attacks_people",,"CBCL items 35/53 are 0-2 severity ratings (past 2 months), not a binary fight report, and already counted in beh_agg_cbcl_parent; dichotomising would double-count.",,
beh_truancy,unavailable,,,Not collected (age 2-5).,,
beh_stealing,unavailable,,,Not collected; the CBCL/1.5-5 has no stealing item.,,
beh_vandalism,incompatible,Q18_Destroys_things_belonging_to_his_her_family_or_other_children,,"Parent-rated CBCL item 18 (0-2, past 2 months) only; no self-report item.",,
beh_conduct_sdq_parent,unavailable,,,"No SDQ; CBCL/1.5-5 only, not pooled with SDQ.",,
beh_hyper_sdq_parent,unavailable,,,See beh_conduct_sdq_parent.,,
beh_peerprob_sdq_parent,unavailable,,,See beh_conduct_sdq_parent.,,
beh_prosocial_sdq_parent,unavailable,,,See beh_conduct_sdq_parent.,,
beh_aggphys_bpaq_self,unavailable,,,See beh_atten_self.,,
beh_aggverb_bpaq_self,unavailable,,,See beh_atten_self.,,
beh_agganger_bpaq_self,unavailable,,,See beh_atten_self.,,
beh_agghostility_bpaq_self,unavailable,,,See beh_atten_self.,,
beh_agg_self,unavailable,,,See beh_atten_self.,,
beh_argues,incompatible,"Q81_Stubborn__sullen__or_irritable, Q97_Whining",,No 'argues too much' item on the CBCL/1.5-5 (school-age forms only). Nearest items (stubborn/sullen/irritable; whining) are not arguing and are already in the syndrome scales.,,
beh_persistence_finishwork,incompatible,"Q5_Can’t_concentrate__can’t_pay_attention_for_long, Q59_Quickly_shifts_from_one_activity_to_a2ther",,"CBCL records inattention/activity-shifting, not finishing what's started; already counted in beh_atten_cbcl_parent.",,
beh_emotreg_stayscalm,incompatible,"Q29_Easily_frustrated, Q85_Temper_tantrums_or_hot_temper",,"CBCL asks only about problems (frustration, tantrums), not how often the child stays calm; no counterpart to this positively worded item.",,
beh_peerprob_makefriends,incompatible,Q25_Doesn’t_get_along_with_other_children,,"CBCL item 25 (0-2, 'doesn't get along with other children') is not the 3-level difficulty-making-friends item; already counted in the withdrawn scale.",,
beh_conduct_diagnosed,unavailable,,,No diagnostic history collected.,,
beh_conduct_diagnosed_severity,unavailable,,,See beh_conduct_diagnosed.,,
beh_conduct_sdq_self,unavailable,,,See beh_atten_self.,,
beh_hyper_sdq_self,unavailable,,,See beh_atten_self.,,
beh_peerprob_sdq_self,unavailable,,,See beh_atten_self.,,
beh_prosocial_sdq_self,unavailable,,,See beh_atten_self.,,
beh_conduct_sdq_teacher,unavailable,,,See beh_conduct_sdq_parent.,,
beh_hyper_sdq_teacher,unavailable,,,See beh_conduct_sdq_parent.,,
beh_peerprob_sdq_teacher,unavailable,,,See beh_conduct_sdq_parent.,,
beh_prosocial_sdq_teacher,unavailable,,,See beh_conduct_sdq_parent.,,
beh_ext_sdq_parent,unavailable,,,See beh_conduct_sdq_parent.,,
beh_ext_sdq_self,unavailable,,,See beh_atten_self.,,
beh_ext_sdq_teacher,unavailable,,,See beh_conduct_sdq_parent.,,
beh_agg_cbcl_parent,compatible,AGGRESSIVE.BEH,AGGRESSIVE.BEH / 19,"Study total over the 19 CBCL/1.5-5 Aggressive Behavior items (8,15,16,18,20,27,29,35,40,42,44,53,58,66,69,81,85,88,96) / 19 = mean item score. Study syndrome totals equal their item sums in every row.",,
beh_atten_cbcl_parent,compatible,ATTENTION.PROB,ATTENTION.PROB / 5,"Study total over the 5 CBCL/1.5-5 Attention Problems items (5,6,56,59,95) / 5 = mean item score. See beh_agg_cbcl_parent.",,
beh_rulebreak_cbcl_parent,unavailable,,,No Rule-Breaking scale on the preschool CBCL/1.5-5 (school-age forms only).,,
beh_ext_cbcl_parent,partial,"AGGRESSIVE.BEH, ATTENTION.PROB",(AGGRESSIVE.BEH + ATTENTION.PROB) / 24,"Externalising = Attention Problems + Aggressive Behavior (24 items), not agg + rule-breaking (preschool form has none). Summed from the two syndromes, not `EXTERNALISING.PROB` (wrong except in baseline sheets and endline control).",,
beh_cbcl_measure,inferred,,"""CBCL/1.5-5, all 100 items administered, 0-2 item scoring; scores are mean item scores over the published item sets (Aggressive Behavior 19 items, Attention Problems 5, Anxious/Depressed 8, Emotionally Reactive 9, Somatic Complaints 11, Withdrawn 8). Externalising is the preschool form's Attention Problems + Aggressive Behavior (24 items) and has no rule-breaking component; internalising is Emotionally Reactive + Anxious/Depressed + Somatic Complaints + Withdrawn (36 items), which includes the somatic items and the Emotionally Reactive scale the school-age forms do not have.""","Caregiver-reported CBCL/1.5-5. 3 items each have one out-of-range value (item 30=4, 98=5, 99=3, one row each); left as delivered, none push a mean item score above 2.",,
beh_prosocial_online_self,unavailable,,,See beh_atten_self.,,
beh_prosocial_online_measure,unavailable,,,See beh_atten_self.,,
cog_execfunc_basc2,unavailable,,,"No cognitive assessment (DSEQ, CBCL/1.5-5, SDSC only); Q25 covers screen use, not ability.",,
cog_langexec_nepsy,unavailable,,,See cog_execfunc_basc2.,,
cog_phono_nepsy,unavailable,,,See cog_execfunc_basc2.,,
cog_inhibcont_nepsy,unavailable,,,See cog_execfunc_basc2.,,
cog_vismotor_nepsy,unavailable,,,See cog_execfunc_basc2.,,
cog_verbalfluency_nepsy,unavailable,,,See cog_execfunc_basc2.,,
cog_inhib_nihtb_flanker,unavailable,,,See cog_execfunc_basc2.,,
cog_flex_nihtb_dccs,unavailable,,,See cog_execfunc_basc2.,,
cog_wm_nihtb_listsort,unavailable,,,See cog_execfunc_basc2.,,
cog_speed_nihtb_pattern,unavailable,,,See cog_execfunc_basc2.,,
cog_epimem_nihtb_picseq,unavailable,,,See cog_execfunc_basc2.,,
cog_vocab_nihtb_picvocab,unavailable,,,See cog_execfunc_basc2.,,
cog_fluidcomp_nihtb,unavailable,,,See cog_execfunc_basc2.,,
cog_crystcomp_nihtb,unavailable,,,See cog_execfunc_basc2.,,
cog_totalcomp_nihtb,unavailable,,,See cog_execfunc_basc2.,,
cog_wm_digitspan,unavailable,,,See cog_execfunc_basc2.,,
cog_iq_fullscale,unavailable,,,See cog_execfunc_basc2.,,
cog_vocab_bpvs,unavailable,,,See cog_execfunc_basc2.,,
cog_vocab_ppvt,unavailable,,,See cog_execfunc_basc2.,,
cog_execfunc_brief_parent,unavailable,,,See cog_execfunc_basc2.,,
cog_vocab_bas_naming,unavailable,,,See cog_execfunc_basc2.,,
cog_nonverbalreason_bas_picsim,unavailable,,,See cog_execfunc_basc2.,,
cog_spatial_bas_pattern,unavailable,,,See cog_execfunc_basc2.,,
cog_verbalreason_bas_versim,unavailable,,,See cog_execfunc_basc2.,,
cog_schoolread_bracken,unavailable,,,See cog_execfunc_basc2.,,
cog_creativethinking_stdtest,unavailable,,,See cog_execfunc_basc2.,,
mh_anx_basc2,unavailable,,,No BASC-2 assessment.,,
mh_dep_basc2,unavailable,,,See mh_anx_basc2.,,
mh_emotsymp_sdq_parent,unavailable,,,"No SDQ; CBCL/1.5-5 only, not pooled with SDQ.",,
mh_totaldiff_sdq_parent,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_anx_diagnosed,unavailable,,,See beh_conduct_diagnosed.,,
mh_anx_diagnosed_severity,unavailable,,,See beh_conduct_diagnosed.,,
mh_dep_diagnosed,unavailable,,,See beh_conduct_diagnosed.,,
mh_dep_diagnosed_severity,unavailable,,,See beh_conduct_diagnosed.,,
mh_emotsymp_sdq_self,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_emotsymp_sdq_teacher,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_totaldiff_sdq_self,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_totaldiff_sdq_teacher,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_int_sdq_parent,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_int_sdq_self,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_int_sdq_teacher,unavailable,,,See mh_emotsymp_sdq_parent.,,
mh_dep_smfq_self,unavailable,,,No self-report (age 2-5); anxiety/depression only via the CBCL/1.5-5.,,
mh_dep_smfq_parent,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_cdi_self,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_cesd_self,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_phq9_self,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_rcads_self,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_dass21_self,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_scl_self,unavailable,,,See mh_dep_smfq_self.,,
mh_distress_k6_self,unavailable,,,See mh_dep_smfq_self.,,
mh_distress_k10_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_masc_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_scas_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_scas_parent,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_scared_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_scared_parent,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_gad7_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_rcads_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_dass21_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anxdep_cbcl_parent,compatible,ANXIOUS.DEPRESSED,ANXIOUS.DEPRESSED / 8,"Study total over the 8 CBCL/1.5-5 Anxious/Depressed items (10,33,37,43,47,68,87,90) / 8 = mean item score. See beh_agg_cbcl_parent.",,
mh_int_cbcl_parent,partial,"EMOTIONALLY.REACTIVE, ANXIOUS.DEPRESSED, SOMATIC.COMPLAINTS, WITHDRAWN",(EMOTIONALLY.REACTIVE + ANXIOUS.DEPRESSED + SOMATIC.COMPLAINTS + WITHDRAWN) / 36,"Internalising adds Emotionally Reactive (9 items) to the dataschema's anxious/depressed, withdrawn and somatic complaints (36 items). Summed from the four syndromes, not `INTERNALISING.PROB` (wrong except in baseline sheets and endline control).",,
mh_dep_binary_self,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_self,unavailable,,,See mh_dep_smfq_self.,,
mh_dep_measure,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_self,unavailable,,,See mh_dep_smfq_self.,,
mh_anx_measure,unavailable,,,See mh_dep_smfq_self.,,
mh_depanx_diagnosed,unavailable,,,See beh_conduct_diagnosed.,,
mh_stress_self,unavailable,,,See mh_dep_smfq_self.,,
mh_lonely_self,unavailable,,,See mh_dep_smfq_self.,,
mh_lonely_scale_self,unavailable,,,See mh_dep_smfq_self.,,
mh_lonely_measure,unavailable,,,See mh_dep_smfq_self.,,
mh_sad_self,incompatible,Q90_Unhappy__sad_or_depressed,,"Parent-rated CBCL item 90 (0-2, past 2 months) only; no self-report item.",,
mh_worry_self,incompatible,Q99_Worries,,"Parent-rated CBCL item 99 (0-2, past 2 months) only; no self-report item.",,
mh_irritable_self,incompatible,Q81_Stubborn__sullen__or_irritable,,"Parent-rated CBCL item 81 (stubborn, sullen or irritable; 0-2, past 2 months) only; no self-report item.",,
mh_nobodycares_self,unavailable,,,Not collected.,,
mh_lifenotworth_self,unavailable,,,Not collected.,,
mh_suicide_ideation_self,unavailable,,,See mh_dep_smfq_self.,,
mh_suicide_attempt_self,unavailable,,,See mh_dep_smfq_self.,,
mh_psychsom_hbscscl_self,unavailable,,,See mh_dep_smfq_self.,,
mh_psychsom_measure,unavailable,,,See mh_dep_smfq_self.,,
wb_emotsc_basc2,unavailable,,,See mh_anx_basc2.,,
wb_mwb_wemwbs,unavailable,,,No wellbeing instrument; nothing self-reported (age 2-5).,,
wb_lifesatisfaction_cantrilladder,unavailable,,,See wb_mwb_wemwbs.,,
wb_resil_basc2,unavailable,,,See mh_anx_basc2.,,
wb_psychcomplaints_feellow,incompatible,Q90_Unhappy__sad_or_depressed,,"CBCL item 90 (0-2, past 2 months), not the HBSC's 5-level frequency; already counted in mh_anxdep_cbcl_parent.",,
wb_psychcomplaints_irritable,incompatible,Q81_Stubborn__sullen__or_irritable,,"CBCL item 81 combines stubborn/sullen/irritable in one 0-2 rating, not HBSC frequency or irritability alone; already counted in beh_agg_cbcl_parent.",,
wb_psychcomplaints_nervous,incompatible,Q47_Nervous__highstrung_or_tense,,"CBCL item 47 (0-2, past 2 months), not the HBSC's 5-level frequency; already counted in mh_anxdep_cbcl_parent.",,
wb_psychcomplaints_diffsleep,incompatible,"Q4.difficulty_getting_to_sleep_at_night, Q38_Has_trouble_getting_to_sleep",,Sleep items (26-item SDSC; CBCL sleep problems) do not use the HBSC's 5-level frequency wording.,,
wb_bodyimage,unavailable,,,See wb_mwb_wemwbs.,,
wb_lifesat_slss_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_lifesat_swls_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_lifesat_singleitem_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_domainsat_schoolwork_self,unavailable,,,Not collected; nothing self-reported.,,
wb_domainsat_appearance_self,unavailable,,,See wb_domainsat_schoolwork_self.,,
wb_domainsat_family_self,unavailable,,,See wb_domainsat_schoolwork_self.,,
wb_domainsat_friends_self,unavailable,,,See wb_domainsat_schoolwork_self.,,
wb_domainsat_school_self,unavailable,,,See wb_domainsat_schoolwork_self.,,
wb_qol_pedsql_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_qol_pedsql_parent,unavailable,,,No parent-report QoL instrument.,,
wb_qol_kidscreen10_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_qol_kidscreen10_parent,unavailable,,,No parent-report QoL instrument.,,
wb_selfesteem_rosenberg_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_selfesteem_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_selfesteem_measure,unavailable,,,See wb_mwb_wemwbs.,,
wb_selfefficacy_gse_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_selfefficacy_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_selfefficacy_measure,unavailable,,,See wb_mwb_wemwbs.,,
wb_mwb_who5_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_happiness_shs_self,unavailable,,,See wb_mwb_wemwbs.,,
wb_mwb_swemwbs_self,unavailable,,,See wb_mwb_wemwbs.,,
