target_variable,status,source_columns,expression,notes,lookup_table
parental_education,proximate,"mother_education, father_education","recode_values(
  pmax(
    recode_values(
      mother_education,
      c(
        ""No formal education"",
        ""Incomplete elementary school"",
        ""Complete elementary school"",
        ""Complete high school""
      ) ~ 1,
      ""Incomplete higher education"" ~ 2,
      ""Complete higher education"" ~ 3,
      default = NA_real_
    ),
    recode_values(
      father_education,
      c(
        ""No formal education"",
        ""Incomplete elementary school"",
        ""Complete elementary school"",
        ""Complete high school""
      ) ~ 1,
      ""Incomplete higher education"" ~ 2,
      ""Complete higher education"" ~ 3,
      default = NA_real_
    ),
    na.rm = TRUE
  ),
  1 ~ ""Secondary school or less"",
  2 ~ ""Post-secondary"",
  3 ~ ""Bachelor degree or higher"",
  default = ""Unknown""
)",Higher of the two parents; 'Don't know' or missing for one does not suppress the other. Same 'Incomplete higher education' caveat.,
urbanicity,inferred,,"""Urban""","IFSC campuses, urbanised Grande Florianopolis mesoregion (10.1016/j.acap.2025.102885). Study-level assumption; no participant-level residence.",
family_structure,unavailable,,,Not in the IPD extract.,
school_grade,unavailable,,,Year level not recorded; all enrolled in high school integrated with professional education.,
st_measure_type,inferred,,"""Continuous""","QueST records minutes per day per activity, not bands.",
st_measure_name,inferred,,"""Questionnaire for Screen Time of Adolescents (QueST)""","Five screen activities, each asked for weekday and weekend day separately (10.1016/j.jped.2021.05.004).",
st_responder,inferred,,"""Self""",Self-administered by design.,
st_total_wd,compatible,"screen_study_weekday, screen_work_weekday, screen_videos_weekday, screen_games_weekday, screen_social_weekday","sum_nonmissing(
  screen_study_weekday,
  screen_work_weekday,
  screen_videos_weekday,
  screen_games_weekday,
  screen_social_weekday
) /
  60","Sum of the five QueST activities (the instrument's own total). Concurrent use is double-counted, so some totals exceed 24 h/day; left uncapped for the preregistered implausible-value exclusion.",
st_total_we,compatible,"screen_study_weekend, screen_work_weekend, screen_videos_weekend, screen_games_weekend, screen_social_weekend","sum_nonmissing(
  screen_study_weekend,
  screen_work_weekend,
  screen_videos_weekend,
  screen_games_weekend,
  screen_social_weekend
) /
  60",See st_total_wd.,
st_total,compatible,"screen_study_weekday, screen_work_weekday, screen_videos_weekday, screen_games_weekday, screen_social_weekday, screen_study_weekend, screen_work_weekend, screen_videos_weekend, screen_games_weekend, screen_social_weekend","((sum_nonmissing(
  screen_study_weekday,
  screen_work_weekday,
  screen_videos_weekday,
  screen_games_weekday,
  screen_social_weekday
) *
  5) +
  (sum_nonmissing(
    screen_study_weekend,
    screen_work_weekend,
    screen_videos_weekend,
    screen_games_weekend,
    screen_social_weekend
  ) *
    2)) /
  7 /
  60",5:2 weighted mean of st_total_wd and st_total_we. See st_total_wd.,
st_watch_wd,compatible,screen_videos_weekday,screen_videos_weekday / 60,"QueST 'watching videos' activity; no devices listed, so TV assumed included but not separable.",
st_watch_we,compatible,screen_videos_weekend,screen_videos_weekend / 60,See st_watch_wd.,
st_watch,compatible,"screen_videos_weekday, screen_videos_weekend",((screen_videos_weekday * 5) + (screen_videos_weekend * 2)) / 7 / 60,5:2 weighted mean of st_watch_wd and st_watch_we. See st_watch_wd.,
st_game_wd,compatible,screen_games_weekday,screen_games_weekday / 60,"QueST 'playing video games' activity, any device; console/computer/handheld/phone not separated.",
st_game_we,compatible,screen_games_weekend,screen_games_weekend / 60,See st_game_wd.,
st_game,compatible,"screen_games_weekday, screen_games_weekend",((screen_games_weekday * 5) + (screen_games_weekend * 2)) / 7 / 60,5:2 weighted mean of st_game_wd and st_game_we. See st_game_wd.,
st_game_comp_wd,unavailable,,,"QueST is by activity, not device; no device-specific breakdown.",
st_game_comp_we,unavailable,,,See st_game_comp_wd.,
st_game_comp,unavailable,,,See st_game_comp_wd.,
st_game_console_wd,unavailable,,,See st_game_comp_wd.,
st_game_console_we,unavailable,,,See st_game_comp_wd.,
st_game_console,unavailable,,,See st_game_comp_wd.,
st_game_handheldconsole_wd,unavailable,,,See st_game_comp_wd.,
st_game_handheldconsole_we,unavailable,,,See st_game_comp_wd.,
st_game_handheldconsole,unavailable,,,See st_game_comp_wd.,
st_game_active_wd,unavailable,,,QueST does not distinguish active/exergaming from sedentary play.,
st_game_active_we,unavailable,,,See st_game_active_wd.,
st_game_active,unavailable,,,See st_game_active_wd.,
st_game_phone_wd,unavailable,,,See st_game_comp_wd.,
st_game_phone_we,unavailable,,,See st_game_comp_wd.,
st_game_phone,unavailable,,,See st_game_comp_wd.,
st_game_tablet_wd,unavailable,,,See st_game_comp_wd.,
st_game_tablet_we,unavailable,,,See st_game_comp_wd.,
st_game_tablet,unavailable,,,See st_game_comp_wd.,
st_comp_nongaming_wd,unavailable,,,See st_game_comp_wd.,
st_comp_nongaming_we,unavailable,,,See st_game_comp_wd.,
st_comp_nongaming,unavailable,,,See st_game_comp_wd.,
st_comp_wd,unavailable,,,See st_game_comp_wd.,
st_comp_we,unavailable,,,See st_game_comp_wd.,
st_comp,unavailable,,,See st_game_comp_wd.,
st_tablet_wd,unavailable,,,See st_game_comp_wd.,
st_tablet_we,unavailable,,,See st_game_comp_wd.,
st_tablet,unavailable,,,See st_game_comp_wd.,
st_phone_wd,unavailable,,,See st_game_comp_wd.,
st_phone_we,unavailable,,,See st_game_comp_wd.,
st_phone,unavailable,,,See st_game_comp_wd.,
st_socmedia_wd,partial,screen_social_weekday,screen_social_weekday / 60,"QueST 'social media and chat applications' activity. Partial: includes messaging, which cannot be split out.",
st_socmedia_we,partial,screen_social_weekend,screen_social_weekend / 60,See st_socmedia_wd.,
st_socmedia,partial,"screen_social_weekday, screen_social_weekend",((screen_social_weekday * 5) + (screen_social_weekend * 2)) / 7 / 60,5:2 weighted mean of st_socmedia_wd and st_socmedia_we. See st_socmedia_wd.,
st_educational_wd,compatible,screen_study_weekday,screen_study_weekday / 60,"QueST 'studying' activity, any device; home and school combined, so not equivalent to st_educational_school.",
st_educational_we,compatible,screen_study_weekend,screen_study_weekend / 60,See st_educational_wd.,
st_educational,compatible,"screen_study_weekday, screen_study_weekend",((screen_study_weekday * 5) + (screen_study_weekend * 2)) / 7 / 60,5:2 weighted mean of st_educational_wd and st_educational_we. See st_educational_wd.,
st_work_wd,compatible,screen_work_weekday,screen_work_weekday / 60,"QueST 'working/internship' activity, any device. Many ELEVA students hold internships.",
st_work_we,compatible,screen_work_weekend,screen_work_weekend / 60,See st_work_wd.,
st_work,compatible,"screen_work_weekday, screen_work_weekend",((screen_work_weekday * 5) + (screen_work_weekend * 2)) / 7 / 60,5:2 weighted mean of st_work_wd and st_work_we. See st_work_wd.,
st_internet_wd,unavailable,,,Not a QueST activity; general internet use is spread across the five activities and cannot be reassembled.,
st_internet_we,unavailable,,,See st_internet_wd.,
st_internet,unavailable,,,See st_internet_wd.,
st_videochat,unavailable,,,See st_internet_wd.,
st_messaging_wd,incompatible,screen_social_weekday,,Bundled with social media in one QueST item; kept on st_socmedia.,
st_messaging_we,incompatible,screen_social_weekend,,See st_messaging_wd.,
st_messaging,incompatible,"screen_social_weekday, screen_social_weekend",,See st_messaging_wd.,
st_creating,unavailable,,,Not a QueST activity.,
st_email,unavailable,,,See st_internet_wd.,
st_shopping,unavailable,,,See st_internet_wd.,
st_total_school,unavailable,,,"QueST records duration, not location.",
st_educational_school,unavailable,,,See st_total_school.,
st_comp_school,unavailable,,,See st_total_school.,
st_tablet_school,unavailable,,,See st_total_school.,
st_internet_school,unavailable,,,See st_total_school.,
st_phone_school,unavailable,,,See st_total_school.,
acc_academachment_selfrated,unavailable,,,,
acc_academachment_lettergrades,unavailable,,,,
acc_academachment_stdtest,unavailable,,,,
acc_schoolengage_caresschool,unavailable,,,,
acc_schoolengage_homework,unavailable,,,,
acc_academachment_numgrades,unavailable,,,,
acc_academachment_teacherrated,unavailable,,,,
acc_numeracy_stdtest,unavailable,,,,
acc_literacy_stdtest,unavailable,,,,
beh_hyper_basc2,unavailable,,,,
beh_atten_basc2,unavailable,,,,
beh_atten_self,unavailable,,,,
beh_selfreg_htks,unavailable,,,,
beh_bullied,unavailable,,,"Not in the IPD extract; ELEVA has victimisation and perpetration items (10.1186/s12889-025-21391-6), likely obtainable from contributors.",
beh_beenbullied,unavailable,,,See beh_bullied.,
beh_beenbullied_online,unavailable,,,See beh_bullied.,
beh_bullied_online,unavailable,,,See beh_bullied.,
beh_fight,unavailable,,,,
beh_truancy,unavailable,,,Not in the IPD extract.,
beh_stealing,unavailable,,,Not in the IPD extract.,
beh_vandalism,unavailable,,,Not in the IPD extract.,
beh_conduct_sdq_parent,unavailable,,,,
beh_hyper_sdq_parent,unavailable,,,,
beh_peerprob_sdq_parent,unavailable,,,,
beh_prosocial_sdq_parent,unavailable,,,,
beh_aggphys_bpaq_self,unavailable,,,,
beh_aggverb_bpaq_self,unavailable,,,,
beh_agganger_bpaq_self,unavailable,,,,
beh_agghostility_bpaq_self,unavailable,,,,
beh_agg_self,unavailable,,,,
beh_argues,unavailable,,,,
beh_persistence_finishwork,unavailable,,,,
beh_emotreg_stayscalm,unavailable,,,,
beh_peerprob_makefriends,unavailable,,,,
beh_conduct_diagnosed,unavailable,,,,
beh_conduct_diagnosed_severity,unavailable,,,,
beh_conduct_sdq_self,unavailable,,,,
beh_hyper_sdq_self,unavailable,,,,
beh_peerprob_sdq_self,unavailable,,,,
beh_prosocial_sdq_self,unavailable,,,,
beh_conduct_sdq_teacher,unavailable,,,,
beh_hyper_sdq_teacher,unavailable,,,,
beh_peerprob_sdq_teacher,unavailable,,,,
beh_prosocial_sdq_teacher,unavailable,,,,
beh_ext_sdq_parent,unavailable,,,,
beh_ext_sdq_self,unavailable,,,,
beh_ext_sdq_teacher,unavailable,,,,
beh_agg_cbcl_parent,unavailable,,,,
beh_atten_cbcl_parent,unavailable,,,,
beh_rulebreak_cbcl_parent,unavailable,,,,
beh_ext_cbcl_parent,unavailable,,,,
beh_cbcl_measure,unavailable,,,,
beh_prosocial_online_self,unavailable,,,Not in the IPD extract.,
beh_prosocial_online_measure,unavailable,,,Not in the IPD extract.,
cog_execfunc_basc2,unavailable,,,,
cog_langexec_nepsy,unavailable,,,,
cog_phono_nepsy,unavailable,,,,
cog_inhibcont_nepsy,unavailable,,,,
cog_vismotor_nepsy,unavailable,,,,
cog_verbalfluency_nepsy,unavailable,,,,
cog_inhib_nihtb_flanker,unavailable,,,,
cog_flex_nihtb_dccs,unavailable,,,,
cog_wm_nihtb_listsort,unavailable,,,,
cog_speed_nihtb_pattern,unavailable,,,,
cog_epimem_nihtb_picseq,unavailable,,,,
cog_vocab_nihtb_picvocab,unavailable,,,,
cog_fluidcomp_nihtb,unavailable,,,,
cog_crystcomp_nihtb,unavailable,,,,
cog_totalcomp_nihtb,unavailable,,,,
cog_wm_digitspan,unavailable,,,,
cog_iq_fullscale,unavailable,,,,
cog_vocab_bpvs,unavailable,,,,
cog_vocab_ppvt,unavailable,,,,
cog_execfunc_brief_parent,unavailable,,,,
cog_vocab_bas_naming,unavailable,,,,
cog_nonverbalreason_bas_picsim,unavailable,,,,
cog_spatial_bas_pattern,unavailable,,,,
cog_verbalreason_bas_versim,unavailable,,,,
cog_schoolread_bracken,unavailable,,,,
cog_creativethinking_stdtest,unavailable,,,Not in the IPD extract.,
mh_anx_basc2,unavailable,,,,
mh_dep_basc2,unavailable,,,,
mh_emotsymp_sdq_parent,unavailable,,,,
mh_totaldiff_sdq_parent,unavailable,,,,
mh_anx_diagnosed,unavailable,,,,
mh_anx_diagnosed_severity,unavailable,,,,
mh_dep_diagnosed,unavailable,,,,
mh_dep_diagnosed_severity,unavailable,,,,
mh_emotsymp_sdq_self,unavailable,,,,
mh_emotsymp_sdq_teacher,unavailable,,,,
mh_totaldiff_sdq_self,unavailable,,,,
mh_totaldiff_sdq_teacher,unavailable,,,,
mh_int_sdq_parent,unavailable,,,,
mh_int_sdq_self,unavailable,,,,
mh_int_sdq_teacher,unavailable,,,,
mh_dep_smfq_self,unavailable,,,,
mh_dep_smfq_parent,unavailable,,,,
mh_dep_cdi_self,unavailable,,,,
mh_dep_cesd_self,compatible,cesd_score,as.numeric(cesd_score),"20-item CES-D, 0-3 item scoring (Radloff 1977, 10.1177/014662167700100306); supplied already scored.",
mh_dep_phq9_self,unavailable,,,,
mh_dep_rcads_self,unavailable,,,,
mh_dep_dass21_self,unavailable,,,,
mh_dep_scl_self,unavailable,,,,
mh_distress_k6_self,unavailable,,,,
mh_distress_k10_self,unavailable,,,,
mh_anx_masc_self,unavailable,,,,
mh_anx_scas_self,unavailable,,,,
mh_anx_scas_parent,unavailable,,,,
mh_anx_scared_self,unavailable,,,,
mh_anx_scared_parent,unavailable,,,,
mh_anx_gad7_self,unavailable,,,,
mh_anx_rcads_self,unavailable,,,,
mh_anx_dass21_self,unavailable,,,,
mh_anxdep_cbcl_parent,unavailable,,,,
mh_int_cbcl_parent,unavailable,,,,
mh_dep_binary_self,unavailable,,,,
mh_dep_self,compatible,cesd_score,as.numeric(cesd_score),"Same CES-D total as mh_dep_cesd_self, for mixed-instrument pooling; not an independent measure.",
mh_dep_measure,inferred,cesd_score,"""Center for Epidemiologic Studies Depression Scale (CES-D), 20 of 20 items, 0-3 item scoring (range 0-60); no reverse-scored items in the supplied total""",Contributors applied standard CES-D scoring (positive items reversed) before supplying the total; nothing left to reverse.,
mh_anx_self,unavailable,,,,
mh_anx_measure,unavailable,,,,
mh_depanx_diagnosed,unavailable,,,,
mh_stress_self,unavailable,,,,
mh_lonely_self,unavailable,,,,
mh_lonely_scale_self,unavailable,,,Not in the IPD extract.,
mh_lonely_measure,unavailable,,,Not in the IPD extract.,
mh_sad_self,unavailable,,,CES-D total only; 'I felt sad' item not supplied.,
mh_worry_self,unavailable,,,Not in the IPD extract.,
mh_irritable_self,unavailable,,,Not in the IPD extract.,
mh_nobodycares_self,unavailable,,,Not in the IPD extract.,
mh_lifenotworth_self,unavailable,,,Not in the IPD extract.,
mh_suicide_ideation_self,unavailable,,,,
mh_suicide_attempt_self,unavailable,,,,
mh_psychsom_hbscscl_self,unavailable,,,Not in the IPD extract.,
mh_psychsom_measure,unavailable,,,Not in the IPD extract.,
wb_emotsc_basc2,unavailable,,,,
wb_mwb_wemwbs,unavailable,,,,
wb_lifesatisfaction_cantrilladder,unavailable,,,,
wb_resil_basc2,unavailable,,,,
wb_psychcomplaints_feellow,unavailable,,,,
wb_psychcomplaints_irritable,unavailable,,,,
wb_psychcomplaints_nervous,unavailable,,,,
wb_psychcomplaints_diffsleep,unavailable,,,,
wb_bodyimage,unavailable,,,,
wb_lifesat_slss_self,unavailable,,,,
wb_lifesat_swls_self,unavailable,,,,
wb_lifesat_singleitem_self,unavailable,,,,
wb_domainsat_schoolwork_self,unavailable,,,Not in the IPD extract.,
wb_domainsat_appearance_self,unavailable,,,Not in the IPD extract.,
wb_domainsat_family_self,unavailable,,,Not in the IPD extract.,
wb_domainsat_friends_self,unavailable,,,Not in the IPD extract.,
wb_domainsat_school_self,unavailable,,,Not in the IPD extract.,
wb_qol_pedsql_self,unavailable,,,,
wb_qol_pedsql_parent,unavailable,,,,
wb_qol_kidscreen10_self,unavailable,,,,
wb_qol_kidscreen10_parent,unavailable,,,,
wb_selfesteem_rosenberg_self,unavailable,,,,
wb_selfesteem_self,unavailable,,,,
wb_selfesteem_measure,unavailable,,,,
wb_selfefficacy_gse_self,unavailable,,,,
wb_selfefficacy_self,unavailable,,,,
wb_selfefficacy_measure,unavailable,,,,
wb_mwb_who5_self,unavailable,,,,
wb_happiness_shs_self,unavailable,,,,
wb_mwb_swemwbs_self,unavailable,,,,
wb_selfratedhealth_self,unavailable,,,,
wb_posaffect_self,unavailable,,,CES-D total only; positive-affect items not supplied.,
wb_posaffect_measure,unavailable,,,Not in the IPD extract.,
wb_eudaimonic_self,unavailable,,,Not in the IPD extract.,
wb_eudaimonic_measure,unavailable,,,Not in the IPD extract.,
